DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RANEROU FERLO,OUDALAYE,BELEL,1,275.0,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,BOULONE SENO,1,299.0,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,CIVIABE ORIENTAL,1,568.0,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,CIVIABE ORIENTAL,2,328.0,ECOLE SALLE DE CLASSE 2
RANEROU FERLO,OUDALAYE,DENDOUDY DOW,1,221.0,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,DENDOUDY DOW,2,216.0,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,DOUNOUBEL,1,76.0,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,FOURDOU MBAYLA,1,576.0,ECOLE SALLE 1
RANEROU FERLO,OUDALAYE,FOURDOU MBAYLA,2,576.0,ECOLE SALLE 2
RANEROU FERLO,OUDALAYE,GASSE DIABE,1,451.0,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,GASSE SAFALBE,1,317.0,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,KATANE,1,105.0,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,KOUROUKARANE,1,122.0,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,LOUGUE THIECODIE,1,92.0,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,LOUMBI NIALBY,1,194.0,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,LOUMBOL SAMBA ABDOUL,1,473.0,ECOLE SALLE 1
RANEROU FERLO,OUDALAYE,LOUMBOL SAMBA ABDOUL,2,473.0,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,MBAM,1,468.0,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,MBOUL BOKI,1,411.0,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,MODI KELLOL,1,342.0,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,NAKARA,1,179.0,ECOLE ELEMENTAIRE DE NAKARA SALLE1
RANEROU FERLO,OUDALAYE,NAOURE,1,572.0,ECOLE SALLE 1
RANEROU FERLO,OUDALAYE,NAOURE,2,65.0,ECOLE SALLE 2
RANEROU FERLO,OUDALAYE,OUDALAYE,1,543.0,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,OUDALAYE,2,542.0,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,PATOUKI,1,352.0,ECOLE SALLE DE CLASSE
RANEROU FERLO,OUDALAYE,PETHIEL,1,250.0,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,SAMBADOGUEL,1,477.0,ECOLE PUBLIQUE SALLE 1
RANEROU FERLO,OUDALAYE,SINTHIOU MAMOUDOU,1,245.0,ABRI PROVISOIRE
RANEROU FERLO,OUDALAYE,YOUNOUFERE,1,484.0,ECOLE PUBLIQUE SALLE 1
RANEROU FERLO,OUDALAYE,YOUNOUFERE,2,491.0,ECOLE PUBLIQUE SALLE 2
RANEROU FERLO,OUDALAYE,YOUNOUFERE,3,508.0,ECOLE PUBLIQUE SALLE 3
RANEROU FERLO,OUDALAYE,YOUNOUFERE,4,149.0,ECOLE PUBLIQUE SALLE DE CLASSE
