DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEDOUGOU,KEDOUGOU,ECOLE ALPHA MAMADOU SADIO BA,1,563,CLASSE CM2B
KEDOUGOU,KEDOUGOU,ECOLE ALPHA MAMADOU SADIO BA,2,564,SALLE DE CLASSE CM2A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,1,563,CLASSE CM2 A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,2,570,CLASSE CM2 B
KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,3,560,CLASSE CE1 A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY DANSOKHO,4,426,CLASSE CE1 B
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,1,524,CLASSE CP A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,2,528,CLASSE CP B
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,3,525,CLASSE CE1 A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,4,505,CLASSE CM2 A
KEDOUGOU,KEDOUGOU,ECOLE BAKARY SECK,5,505,CLASSE CM2 B
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,1,581,CLASSE CE2 A
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,2,579,CLASSE CE2 B
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,3,577,CLASSE CM1 A
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,4,579,CLASSE CM1 B
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,5,584,CLASSE CM2 A
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,6,580,CLASSE CE1 B
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,7,576,CLASSE CE1 A
KEDOUGOU,KEDOUGOU,ECOLE EL HADJI OMAR AIDARA,8,454,CLASSE CM2 B
KEDOUGOU,KEDOUGOU,ECOLE IBRAHIMA DANFAKHA,1,599,CLASSE CPA
KEDOUGOU,KEDOUGOU,ECOLE IBRAHIMA DANFAKHA,2,594,CLASSE CI B
KEDOUGOU,KEDOUGOU,ECOLE IBRAHIMA DANFAKHA,3,598,CLASSE CI A
KEDOUGOU,KEDOUGOU,ECOLE IBRAHIMA DANFAKHA,4,598,CLASSE CM2 B
KEDOUGOU,KEDOUGOU,ECOLE KENIOTO PEULH,1,380,CLASSE CM2
KEDOUGOU,KEDOUGOU,ECOLE MARIAMA DIABY,1,585,CLASSE CI A
KEDOUGOU,KEDOUGOU,ECOLE MARIAMA DIABY,2,582,CLASSE CI B
KEDOUGOU,KEDOUGOU,ECOLE MARIAMA DIABY,3,584,CLASSE CPA
KEDOUGOU,KEDOUGOU,ECOLE MARIAMA DIABY,4,105,CLASSE CP B
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,1,564,CLASSE CM1 A
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,2,559,CLASSE CM1 B
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,3,538,CLASSE CM2 B
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,4,536,CLASSE CE1 A
KEDOUGOU,KEDOUGOU,ECOLE THIERNO SALIF SIDIBE,5,538,CLASSE CE1 B
