DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEDOUGOU,FONGOLIMBI,FONGOLIMBI,1,451,CLASSE CM2
KEDOUGOU,FONGOLIMBI,FONGOLIMBI,2,451,CLASSE CM1
KEDOUGOU,FONGOLIMBI,KOBOYE,1,171,CLASSE CP
KEDOUGOU,FONGOLIMBI,KOBOYE,2,170,CLASSE CE1
KEDOUGOU,FONGOLIMBI,LESFALO,1,210,CLASSE CM2
KEDOUGOU,FONGOLIMBI,LESFALO,2,210,CLASSE CM1
KEDOUGOU,FONGOLIMBI,MADIHOU,1,182,ECOLE CLASSE CM2
KEDOUGOU,FONGOLIMBI,MAROUGOU,1,189,CLASSE CP
KEDOUGOU,FONGOLIMBI,NIAGALANCOME,1,264,CLASSE CM2
KEDOUGOU,FONGOLIMBI,NIAGALANCOME,2,263,CLASSE CM1
KEDOUGOU,FONGOLIMBI,SAMBANGAL,1,73,ABRI PROVISOIRE
KEDOUGOU,FONGOLIMBI,TOUMANIA,1,347,CLASSE CM2
KEDOUGOU,FONGOLIMBI,WASSAYA,1,61,CLASSE CE2
