DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,REFANE,BOKH,1,486,ECOLE BOKH SALLE 1
BAMBEY,REFANE,BOKH,2,484,ECOLE BOKH SALLE 2
BAMBEY,REFANE,LOULOUPE,1,581,ABRI PROVISOIRE
BAMBEY,REFANE,MBAMBEY,1,477,ECOLE MBAMBEY SALLE 1
BAMBEY,REFANE,NDEREPP,1,583,ECOLE NDEREPP SALLE 1
BAMBEY,REFANE,NDEREPP,2,590,ECOLE NDEREPP SALLE 2
BAMBEY,REFANE,NDEREPP,3,590,ECOLE NDEREPP SALLE 3
BAMBEY,REFANE,NDEREPP,4,249,ECOLE NDEREPP SALLE 4
BAMBEY,REFANE,NDORONG MALICK,1,362,ECOLE NDORONG MALICK SALLE 1
BAMBEY,REFANE,NGANGOUNE,1,306,ECOLE ELEM DE NGANGOUNE SALLE 1
BAMBEY,REFANE,NGOUYE THIANDIGUE,1,517,ECOLE DE NGOUYE THIANDIGUE SALLE 1
BAMBEY,REFANE,NGOUYE THIANDIGUE,2,225,ECOLE DE NGOUYE THIANDIGUE SALLE 2
BAMBEY,REFANE,REFANE PEYE SINDIANE,1,565,ECOLE 1 SALLE 1
BAMBEY,REFANE,REFANE PEYE SINDIANE,2,571,ECOLE 1 SALLE 2
BAMBEY,REFANE,REFANE PEYE SINDIANE,3,572,ECOLE 1 SALLE 3
BAMBEY,REFANE,REFANE PEYE SINDIANE,4,569,ECOLE 1 SALLE 4
BAMBEY,REFANE,REFANE PEYE SINDIANE,5,567,ECOLE 1 SALLE 5
BAMBEY,REFANE,REFANE PEYE SINDIANE,6,573,SALLE 6
BAMBEY,REFANE,REFANE PEYE SINDIANE,7,574,SALLE7
BAMBEY,REFANE,REFANE PEYE SINDIANE,8,560,ECOLE SALLE 8
BAMBEY,REFANE,REFANE PEYE SINDIANE,9,245,ECOLE 1 SALLE 9
BAMBEY,REFANE,REO MAO,1,562,SALLE 1
BAMBEY,REFANE,REO MAO,2,578,SALLE 2
BAMBEY,REFANE,REO MAO,3,153,SALLE 3
BAMBEY,REFANE,SEO THIAOTHIAO,1,286,ABRI PROVISOIRE
