DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),1,586.0,CLASSE CI B
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),2,585.0,CLASSE CI A
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),3,585.0,CLASSE CP B
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),4,585.0,CLASSE CP A
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),5,584.0,CLASSE CE1 B
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),6,585.0,CLASSE CE1 A
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),7,585.0,CLASSE CE2 B
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),8,585.0,CLASSE CE2 A
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),9,586.0,CM1A
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),10,586.0,SALLE DE CLASSE
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),11,586.0,SALLE DE CLASSE
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),12,165.0,SALLE DE REUNION
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,1,599.0,CLASSE CI A
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,2,597.0,CLASSE CI B
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,3,598.0,CLASSE CI C
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,4,597.0,CLASSE CP A
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,5,597.0,CLASSE CP B
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,6,598.0,CLASSE CP C
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,7,598.0,CLASSE CM 2 A
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,8,596.0,CLASSE CM 2 B
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,9,598.0,CLASSE CM 2 C
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,10,596.0,CLASSE CE 1 C
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,11,598.0,CLASSE CE 1 B
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,12,600.0,CLASSE CE 1 A
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,13,599.0,CLASSE CE 2 B
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,14,598.0,CLASSE CE 2 C
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,15,598.0,CLASSE CE 2 A
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,16,597.0,CLASSE CM 1 C
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,17,598.0,CLASSE CM 1 B
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,18,597.0,CLASSE CM 1 A
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,19,595.0,ABRI PROVISOIRE
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,20,597.0,ECOLE NIANG SALLEDE CLASSE
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,21,595.0,ECOLE NIANG SALLE DE CLASSE
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,22,595.0,ECOLE NIANG SALLE DE CLASSE
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,23,596.0,ECOLE NIANG SALLE DE CLASSE
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,24,598.0,ECOLE NIANG SALLE DE CLASSE
DAKAR,BISCUITERIE,ECOLE CHEIKH M SAKHO O NIAYES 2,1,92.0,CLASSE CI A
DAKAR,BISCUITERIE,ECOLE CHEIKH M SAKHO O NIAYES 2,2,90.0,CLASSE CE 2 C
DAKAR,BISCUITERIE,ECOLE CHEIKH M SAKHO O NIAYES 2,3,95.0,CLASSE CP A
DAKAR,BISCUITERIE,ECOLE CHEIKH M SAKHO O NIAYES 2,4,92.0,CLASSE CM 2 C
DAKAR,BISCUITERIE,ECOLE CHEIKH M SAKHO O NIAYES 2,5,94.0,CLASSE CM 2 B
DAKAR,BISCUITERIE,ECOLE IMAM ABDOU NDIAYE (CERF VOLAN,1,492.0,CLASSE CE 2 A
DAKAR,BISCUITERIE,ECOLE IMAM ABDOU NDIAYE (CERF VOLAN,2,499.0,CLASSE CE 2 B
DAKAR,BISCUITERIE,ECOLE IMAM ABDOU NDIAYE (CERF VOLAN,3,494.0,CLASSE CM 1 A
DAKAR,BISCUITERIE,ECOLE IMAM ABDOU NDIAYE (CERF VOLAN,4,502.0,CLASSE CM 1 B
