DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,PATTE D OIE,ECOLE CITE SOPRIM,1,600,CLASSE CM 2 A
DAKAR,PATTE D OIE,ECOLE CITE SOPRIM,2,600,CLASSE CM2 B
DAKAR,PATTE D OIE,ECOLE CITE SOPRIM,3,600,CLASSE CI A
DAKAR,PATTE D OIE,ECOLE CITE SOPRIM,4,601,CLASSE CI B
DAKAR,PATTE D OIE,ECOLE CITE SOPRIM,5,599,CLASSE CP A
DAKAR,PATTE D OIE,ECOLE CITE SOPRIM,6,600,SALLE DE CLASSE
DAKAR,PATTE D OIE,ECOLE CITE SOPRIM,7,600,SALLE DE CLASSE
DAKAR,PATTE D OIE,ECOLE CITE SOPRIM,8,600,SALLE DE CLASSE
DAKAR,PATTE D OIE,ECOLE CITE SOPRIM,9,600,SALLE DE CLASSE
DAKAR,PATTE D OIE,ECOLE CITE SOPRIM,10,188,SALLE DE CLASSE
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,1,558,CLASSE CM 1 B
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,2,558,CLASSE CM 1 A
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,3,557,CLASSE CM 2 B
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,4,551,CLASSE CM 2 A
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,5,553,CLASSE CE 2 B
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,6,574,CLASSE CE 1 A
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,7,562,CLASSE CE 1 B
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,8,566,CLASSE CE 2 A
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,9,565,CLASSE CP A
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,10,561,CLASSE CPB
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,11,563,SALLE DE CLASSE
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,12,558,SALLE DE CLASSE
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,13,555,SALLE DE CLASSE
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,14,562,SALLE DE CLASSE
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,15,559,SALLE DE CLASSE
DAKAR,PATTE D OIE,ECOLE GRAND MEDINE,16,564,ABRI PROVISOIRE
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,1,586,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,2,591,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,3,597,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,4,594,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,5,596,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,6,600,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,7,594,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,8,596,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,9,600,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,10,589,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,11,594,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,12,589,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,13,592,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,14,592,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,15,590,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,16,597,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,ECOLE PATTE D'OIE BUILDER,17,138,LYCEE AMINATA SOW FALL
DAKAR,PATTE D OIE,LYCEE SERGENT MALAMINE CAMARA,1,533,SALLE DE CLASSE 1
DAKAR,PATTE D OIE,LYCEE SERGENT MALAMINE CAMARA,2,534,SALLE DE CLASSE 2
DAKAR,PATTE D OIE,LYCEE SERGENT MALAMINE CAMARA,3,158,SALLE DE CLASSE 3
