DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,NGOR,ECOLE ALIEU SAMB,1,582.0,CLASSE CM2
DAKAR,NGOR,ECOLE ALIEU SAMB,2,576.0,CLASSE CE2
DAKAR,NGOR,ECOLE ALIEU SAMB,3,574.0,CLASSE CE1
DAKAR,NGOR,ECOLE ALIEU SAMB,4,568.0,CLASSE CI
DAKAR,NGOR,ECOLE ALIEU SAMB,5,553.0,SALLE DE CLASSE
DAKAR,NGOR,ECOLE ALIEU SAMB,6,349.0,SALLE DE CLASSE
DAKAR,NGOR,ECOLE BAITYR SAMB,1,595.0,CLASSE CIA
DAKAR,NGOR,ECOLE BAITYR SAMB,2,595.0,CLASSE CPA
DAKAR,NGOR,ECOLE BAITYR SAMB,3,597.0,CLASSE CE1A
DAKAR,NGOR,ECOLE BAITYR SAMB,4,595.0,CLASSE CM2A
DAKAR,NGOR,ECOLE BAITYR SAMB,5,596.0,CLASSE CM2B
DAKAR,NGOR,ECOLE BAITYR SAMB,6,594.0,SALLE DE CLASSE
DAKAR,NGOR,ECOLE BAITYR SAMB,7,598.0,SALLE DE CLASSE
DAKAR,NGOR,ECOLE BAITYR SAMB,8,595.0,SALLE DE CLASSE
DAKAR,NGOR,UNIVERSITE POLYTECHNIQUE OUEST AFRICAIN,1,574.0,SALLE 1
DAKAR,NGOR,UNIVERSITE POLYTECHNIQUE OUEST AFRICAIN,2,575.0,SALLE 2
DAKAR,NGOR,UNIVERSITE POLYTECHNIQUE OUEST AFRICAIN,3,580.0,SALLE 3
DAKAR,NGOR,UNIVERSITE POLYTECHNIQUE OUEST AFRICAIN,4,576.0,SALLE 7
DAKAR,NGOR,UNIVERSITE POLYTECHNIQUE OUEST AFRICAIN,5,317.0,SALLE 4
