DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,SINDIA,BABEL,1,180.0,ECOLE ELEMENTAIRE DE BABEL
MBOUR,SINDIA,DJILAKH,1,462.0,ECOLE ELEMENTAIRE SALLE 01
MBOUR,SINDIA,DJILAKH,2,462.0,ECOLE ELEMENTAIRE SALLE02
MBOUR,SINDIA,GANDIGAL,1,565.0,ECOLE ELEMENTAIRE SALLE 01
MBOUR,SINDIA,GANDIGAL,2,563.0,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,GANDIGAL,3,394.0,ECOLE ELEMENTAIRE SALLE 3
MBOUR,SINDIA,GUEREO,1,580.0,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,GUEREO,2,579.0,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,GUEREO,3,589.0,ECOLE ELEMENTAIRE SALLE 3
MBOUR,SINDIA,GUEREO,4,589.0,ECOLE ELEMENTAIRE SALLE 4
MBOUR,SINDIA,GUEREO,5,585.0,ECOLE ELEMENTAIRE SALLE 5
MBOUR,SINDIA,GUEREO,6,587.0,ECOLE ELEMENTAIRE SALLE 6
MBOUR,SINDIA,GUEREO,7,469.0,ECOLE ELEMENTAIRE SALLE 7
MBOUR,SINDIA,GUEREO,8,229.0,ECOLE ELEMENTAIRE SALLE 8
MBOUR,SINDIA,KEUR MASSOUKA,1,561.0,ECOLE ELEMENTAIRE
MBOUR,SINDIA,KEUR MASSOUKA,2,90.0,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SINDIA,KEUR SONKO,1,166.0,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,KINIABOUR 1,1,422.0,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,KINIABOUR 1,2,422.0,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,KINIABOUR 2,1,482.0,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,KINIABOUR 2,2,482.0,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,NDIOROKH MBOTH,1,436.0,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SINDIA,NDIOROKH NDOUTANE,1,245.0,CASE DE SANTE
MBOUR,SINDIA,NGUERIGNE,1,518.0,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,NGUERIGNE,2,520.0,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,NGUERIGNE,3,518.0,ECOLE ELEMENTAIRE SALLE 3
MBOUR,SINDIA,SINDIA,1,567.0,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,SINDIA,2,568.0,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,SINDIA,3,570.0,ECOLE ELEMENTAIRE SALLE 3
MBOUR,SINDIA,SINDIA,4,568.0,ECOLE ELEMENTAIRE SALLE 4
MBOUR,SINDIA,SINDIA,5,553.0,ECOLE ELEMENTAIRE SALLE 5
MBOUR,SINDIA,SINDIA,6,556.0,ECOLE ELEMENTAIRE SALLE 6
MBOUR,SINDIA,SINDIA,7,328.0,ECOLE ELEMENTAIRE SALLE 7
MBOUR,SINDIA,SINDIA KAFNGOUNE,1,288.0,ECOLE ELEMENTAIRE
MBOUR,SINDIA,SINTHIANE,1,241.0,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SINDIA,SOROKHASSAP,1,377.0,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,SOROKHASSAP,2,376.0,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,TENE TOUBAB,1,436.0,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,TENE TOUBAB,2,436.0,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,TENE TOUBAB,3,435.0,ECOLE ELEMENTAIRE SALLE 3
MBOUR,SINDIA,THIAFOURA,1,456.0,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SINDIA,THIAFOURA,2,456.0,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SINDIA,THIOMBOLODJI,1,499.0,ECOLE ELE DE TANGUIS SALLE 1
MBOUR,SINDIA,THIOMBOLODJI,2,499.0,ECOLE ELE TANGUIS SALLE 2
