DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBOUR,SALY PORTUDAL,SALY BAMBARA,1,578.0,CLASSE CIA
MBOUR,SALY PORTUDAL,SALY BAMBARA,2,576.0,CLASSE CPA
MBOUR,SALY PORTUDAL,SALY BAMBARA,3,577.0,CLASSE CE1 A
MBOUR,SALY PORTUDAL,SALY BAMBARA,4,575.0,CLASSE CE1 B
MBOUR,SALY PORTUDAL,SALY BAMBARA,5,576.0,CLASSE CM2
MBOUR,SALY PORTUDAL,SALY BAMBARA,6,576.0,CLASSE CE2 D
MBOUR,SALY PORTUDAL,SALY BAMBARA,7,575.0,SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY BAMBARA,8,577.0,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY CARREFOUR,1,585.0,CLASSE CM1
MBOUR,SALY PORTUDAL,SALY CARREFOUR,2,584.0,CLASSE CM2
MBOUR,SALY PORTUDAL,SALY CARREFOUR,3,584.0,CLASSE CE2
MBOUR,SALY PORTUDAL,SALY CARREFOUR,4,582.0,CLASSE CE 1
MBOUR,SALY PORTUDAL,SALY CARREFOUR,5,585.0,CLASSE CP/A
MBOUR,SALY PORTUDAL,SALY CARREFOUR,6,584.0,SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY CARREFOUR,7,585.0,SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY CARREFOUR,8,586.0,SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY CARREFOUR,9,587.0,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY CARREFOUR,10,587.0,ECOLE ELEMENTAIRE SALLE DE CLASSE
MBOUR,SALY PORTUDAL,SALY PORTUDAL,1,565.0,ECOLE ELEMENTAIRE SALLE 1
MBOUR,SALY PORTUDAL,SALY PORTUDAL,2,563.0,ECOLE ELEMENTAIRE SALLE 2
MBOUR,SALY PORTUDAL,SALY PORTUDAL,3,562.0,ECOLE ELEMENTAIRE SALLE 3
MBOUR,SALY PORTUDAL,SALY PORTUDAL,4,563.0,ECOLE ELEMENTAIRE SALLE 4
MBOUR,SALY PORTUDAL,SALY PORTUDAL,5,563.0,ECOLE ELEMENTAIRE SALLE 5
MBOUR,SALY PORTUDAL,SALY PORTUDAL,6,562.0,ECOLE ELEMENTAIRE SALLE 6
MBOUR,SALY PORTUDAL,SALY PORTUDAL,7,561.0,ECOLE ELEMENTAIRE SALLE 7
MBOUR,SALY PORTUDAL,SALY PORTUDAL,8,563.0,ECOLE ELEMENTAIRE SALLE 8
MBOUR,SALY PORTUDAL,SALY PORTUDAL,9,561.0,ECOLE ELEMENTAIRE SALLE 9
MBOUR,SALY PORTUDAL,SALY PORTUDAL,10,563.0,ECOLE ELEMENTAIRE SALLE 10
MBOUR,SALY PORTUDAL,SALY PORTUDAL,11,561.0,ECOLE ELEMENTAIRE SALLE 11
MBOUR,SALY PORTUDAL,SALY PORTUDAL,12,562.0,ECOLE ELEMENTAIRE SALLE 12
MBOUR,SALY PORTUDAL,SALY PORTUDAL,13,561.0,ECOLE ELEMENTAIRE SALLE 13
MBOUR,SALY PORTUDAL,SALY PORTUDAL,14,563.0,NOUVELLE ECOLE ELEMENTAIRE EN FACE
MBOUR,SALY PORTUDAL,SALY PORTUDAL,15,562.0,NOUVELLE ECOLE ELEMENTAIRE EN FACE
MBOUR,SALY PORTUDAL,SALY PORTUDAL,16,564.0,NOUVELLE ECOLE ELEMENTAIRE SALLE 8
