DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,DABALY,BAHOU,1,552,CLASSE CE 1
NIORO DU RIP,DABALY,BAHOU,2,179,CLASSE CE 2
NIORO DU RIP,DABALY,DABALY,1,538,CLASSE CE 1
NIORO DU RIP,DABALY,DABALY,2,536,CLASSE CM 1
NIORO DU RIP,DABALY,FIRGUI,1,493,CLASSE CM 2
NIORO DU RIP,DABALY,KABAKOTO,1,464,CLASSE CM 1
NIORO DU RIP,DABALY,KABAKOTO,2,465,CLASSE CM 2
NIORO DU RIP,DABALY,KANTORA DIASSE,1,579,CLASSE CM 2
NIORO DU RIP,DABALY,KANTORA DIASSE,2,154,CLASSE CM 1
NIORO DU RIP,DABALY,LEYENE,1,354,ABRI PROVISOIRE
NIORO DU RIP,DABALY,SANTHIE MAMOUR NDARI,1,508,CLASSE CM 1
NIORO DU RIP,DABALY,SANTHIE MAMOUR NDARI,2,107,CLASSE CM 2
