DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
NIORO DU RIP,TAIBA NIASSENE,DAFFAR,1,583,CLASSE CE2
NIORO DU RIP,TAIBA NIASSENE,DAFFAR,2,54,CLASSE CE1
NIORO DU RIP,TAIBA NIASSENE,FASS KEUR OMAR TOUNKARA,1,362,SALLE DE CLASSE
NIORO DU RIP,TAIBA NIASSENE,KEUR ABIBOU NIASSE,1,470,CLASSE CM1
NIORO DU RIP,TAIBA NIASSENE,KEUR ABIBOU NIASSE,2,469,CLASSE CM2
NIORO DU RIP,TAIBA NIASSENE,KEUR ALIOU PATHE,1,559,CLASSE CM1
NIORO DU RIP,TAIBA NIASSENE,KEUR AMATH ASTA,1,247,MAGASIN
NIORO DU RIP,TAIBA NIASSENE,KEUR LAYENE KHOREDIA,1,279,MAGASIN
NIORO DU RIP,TAIBA NIASSENE,KEUR MABA AWA,1,585,CLASSE CM2
NIORO DU RIP,TAIBA NIASSENE,KEUR MABA AWA,2,81,CLASSE CM1
NIORO DU RIP,TAIBA NIASSENE,KOLMA DIORDIOR,1,294,CLASSE CE2
NIORO DU RIP,TAIBA NIASSENE,KOLMA DIORDIOR,2,294,CLASSE CE1
NIORO DU RIP,TAIBA NIASSENE,MBITEYENE OUALO,1,406,CLASSE CM1
NIORO DU RIP,TAIBA NIASSENE,MBITEYENE OUALO,2,341,CI
NIORO DU RIP,TAIBA NIASSENE,SANTHIE THIAMENE,1,445,CLASSE CM2
NIORO DU RIP,TAIBA NIASSENE,SANTHIE THIAMENE,2,385,CP
NIORO DU RIP,TAIBA NIASSENE,TAIBA NIASSENE,1,583,CLASSE CP2
NIORO DU RIP,TAIBA NIASSENE,TAIBA NIASSENE,2,582,CLASSE CE1
NIORO DU RIP,TAIBA NIASSENE,TAIBA NIASSENE,3,582,CLASSE CE 2
NIORO DU RIP,TAIBA NIASSENE,TAIBA NIASSENE,4,581,CLASSE CM2
NIORO DU RIP,TAIBA NIASSENE,TAIBA NIASSENE,5,582,SALLE DE CLASSE
NIORO DU RIP,TAIBA NIASSENE,TAIBA NIASSENE,6,583,CM1 B
NIORO DU RIP,TAIBA NIASSENE,TAIBA NIASSENE,7,583,CLASSE CI
NIORO DU RIP,TAIBA NIASSENE,TAWA OUALO,1,406,CLASSE CM1
NIORO DU RIP,TAIBA NIASSENE,THIAMENE OUALO,1,569,CLASSE CM1
NIORO DU RIP,TAIBA NIASSENE,THIAMENE OUALO,2,568,CLASSE CM2
