DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,KANDIAYE,ECOLE DIANWELI MAMADOU,1,262.0,SALLE DE CLASSE
VELINGARA,KANDIAYE,ECOLE SARE DIAE,1,129.0,CE 1
VELINGARA,KANDIAYE,ECOLE SARE KONKO,1,353.0,ECOLE SARE KONKOYEL CM 2
VELINGARA,KANDIAYE,FASS PATHE KANDE,1,488.0,CLASSE CM1
VELINGARA,KANDIAYE,KANDIAYE,1,409.0,CLASSE CP
VELINGARA,KANDIAYE,KANDIAYE,2,411.0,CM 1
VELINGARA,KANDIAYE,LINGUEWAL,1,299.0,CLASSE CE2
VELINGARA,KANDIAYE,MISSIRAH MAMADOU,1,122.0,ABRI PROVISOIRE
VELINGARA,KANDIAYE,NGOUNDAGA,1,142.0,CLASSE CM1
VELINGARA,KANDIAYE,NGOUNDAGA,2,142.0,CLASSE CE 2
VELINGARA,KANDIAYE,NIANDOUBA,1,324.0,CLASSE CM2
VELINGARA,KANDIAYE,SARE MADIA,1,170.0,CLASSE CM2
VELINGARA,KANDIAYE,SARE MADIA,2,169.0,CLASSE CM1
VELINGARA,KANDIAYE,TACOUDIALA,1,250.0,CLASSE CM1
VELINGARA,KANDIAYE,TEMENTO ALLA DIEYE,1,327.0,CLASSE CM1
VELINGARA,KANDIAYE,THIOUBOUCK,1,185.0,CLASSE CM2
VELINGARA,KANDIAYE,THIOUBOUCK,2,183.0,CLASSE CM 1
