DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,OUASSADOU,BAFATA DEMBA,1,281,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,BOYA,1,272,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,DIATEL,1,406,ECOLE CLASSE CM2
VELINGARA,OUASSADOU,ECOLE DIOULAYEL,1,100,SALLE DE CLASSE
VELINGARA,OUASSADOU,ECOLE KOLODINTO FOUTA,1,131,SALLE DE CLASSE
VELINGARA,OUASSADOU,ECOLE SARE NAFA,1,211,SALLE DE CLASSE
VELINGARA,OUASSADOU,KAONE,1,326,ECOLE CLASSE CM2
VELINGARA,OUASSADOU,MADINA POUSSANG,1,213,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,MISSIRA THIOURKI,1,348,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,NIANAO,1,337,ECOLE CLASSE CE2
VELINGARA,OUASSADOU,NIANAO,2,339,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,NIANGOURE,1,256,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,OUASSADOU,1,374,ECOLE CLASSE CE2
VELINGARA,OUASSADOU,OUASSADOU,2,373,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,OUASSADOU,3,374,ECOLE CLASSE CM2
VELINGARA,OUASSADOU,PAYOUNGOU,1,425,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,PIRA,1,126,ECOLE CLASSE CE2
VELINGARA,OUASSADOU,PRING MAOUNDE,1,217,ECOLE PRING MAOUNDA
VELINGARA,OUASSADOU,SAHARICOUNDA,1,203,ECOLE CLASSE CM1
VELINGARA,OUASSADOU,SARE DIAE,1,130,ABRI PROVISOIRE
VELINGARA,OUASSADOU,SARE KANTA,1,141,ECOLE SARE KANTA
VELINGARA,OUASSADOU,SARE OGNA,1,358,ECOLE CLASSE CM2
