DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,BONCONTO,AMANATOULAYE,1,218.0,SALLE DE CLASSE CP
VELINGARA,BONCONTO,BANTANCOUNTOU,1,197.0,ECOLE BANTANCOUNTOU
VELINGARA,BONCONTO,BONCONTO,1,566.0,ECOLE BONCONTO CLASSE CP
VELINGARA,BONCONTO,BONCONTO,2,564.0,ECOLE BONCONTO CLASSE CM 2
VELINGARA,BONCONTO,DAROU HIDJIRATOU,1,440.0,ABRI PROVISOIRE
VELINGARA,BONCONTO,DAROU HIDJIRATOU,2,439.0,ABRI PROVISOIRE
VELINGARA,BONCONTO,HAMDALLAYE BARKA,1,327.0,SALLE DE CLASSE CP
VELINGARA,BONCONTO,KODIONTE,1,215.0,ABRI PROVISOIRE
VELINGARA,BONCONTO,KOUNDARA KABA,1,164.0,ECOLE PUBLIQUE
VELINGARA,BONCONTO,MOUNTING HAMADI,1,325.0,CLASSE CM 1
VELINGARA,BONCONTO,PAKANE,1,105.0,ABRI PROVISOIRE
VELINGARA,BONCONTO,PATIN COUTA PAKANE,1,248.0,SALLE DE CLASSE CP
VELINGARA,BONCONTO,SARE BOSSEDIE,1,289.0,SALLE DE CLASSE CE 1
VELINGARA,BONCONTO,SINTHIANG PAKIGNA,1,312.0,SALLE DE CLASSE CE 1
VELINGARA,BONCONTO,THIANCOUNG,1,63.0,SALLE DE CLASSE CP
VELINGARA,BONCONTO,THIOMOLOCK TOMBONG,1,240.0,SALLE DE CLASSE CE 2
