DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOUDOMP,SIMBANDI BRASSOU,BISSASSOU DOUMA,01,246,ABRI PROVISOIRE
GOUDOMP,SIMBANDI BRASSOU,BISSASSOU SANTO,01,446,CLASSE CI
GOUDOMP,SIMBANDI BRASSOU,BOUCARCOUNDA,01,201,CLASSE CI
GOUDOMP,SIMBANDI BRASSOU,BOUCARCOUNDA,02,201,CLASSE CE1
GOUDOMP,SIMBANDI BRASSOU,DAFIA,01,167,ABRI PROVISOIRE
GOUDOMP,SIMBANDI BRASSOU,ECOLE ELEMENTAIRE BADOBAR DOUMA,01,119,CLASSE CE2
GOUDOMP,SIMBANDI BRASSOU,KAROUMBOU,01,569,CLASSE CI
GOUDOMP,SIMBANDI BRASSOU,MANCOLICOUNDA,01,293,CLASSE CI
GOUDOMP,SIMBANDI BRASSOU,MANCOLICOUNDA,02,292,CLASSE CE1
GOUDOMP,SIMBANDI BRASSOU,SAMBOUCOUNDA,01,450,ECOLE ELEMENTAIRE CM2
GOUDOMP,SIMBANDI BRASSOU,SIMBANDI BRASSOU BALANTE,01,566,CLASSE CI
GOUDOMP,SIMBANDI BRASSOU,SIMBANDI BRASSOU BALANTE,02,557,CLASSE CP
GOUDOMP,SIMBANDI BRASSOU,SIMBANDI BRASSOU BALANTE,03,553,CLASSE CE1
GOUDOMP,SIMBANDI BRASSOU,SIMBANDI BRASSOU BALANTE,04,562,CLASSE CP2
GOUDOMP,SIMBANDI BRASSOU,SIMBANDI BRASSOU BALANTE,05,293,CLASSE CM2
GOUDOMP,SIMBANDI BRASSOU,WALICOUNDA SOUCOUTOTO,01,268,ABRI PROVISOIRE
GOUDOMP,SIMBANDI BRASSOU,WALICOUNDA SOUCOUTOTO,02,267,ABRI PROVISOIRE
