DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,NDINDY,COKY GOUYE,1,411,CLASSE CM1
DIOURBEL,NDINDY,COKY GOUYE,2,410,CLASSE CE2
DIOURBEL,NDINDY,DAGA,1,206,CLASSE CI
DIOURBEL,NDINDY,DAROU DIA,1,335,MAGASIN CEREALIER
DIOURBEL,NDINDY,DIONGO,1,538,CLASSE CM2
DIOURBEL,NDINDY,ECOLE TAIBA SANTHIE 1,1,93,SALLE DE CLASSE
DIOURBEL,NDINDY,LAYABE,1,109,ABRI PROVISOIRE
DIOURBEL,NDINDY,LOUMENE,1,241,CLASSE CE1
DIOURBEL,NDINDY,MERINA SYLL,1,356,CLASSE CM1
DIOURBEL,NDINDY,NDIATACK,1,490,CLASSE CP
DIOURBEL,NDINDY,NDIMBE,1,406,CLASSE CI
DIOURBEL,NDINDY,NDINDY,1,519,CLASSE CM2
DIOURBEL,NDINDY,NDINDY,2,522,CLASSE CE1
DIOURBEL,NDINDY,NDINDY,3,521,CLASSE CM1
DIOURBEL,NDINDY,NDINDY,4,520,CLASSE CP
DIOURBEL,NDINDY,NGHAYE,1,92,CLASSE CI
DIOURBEL,NDINDY,TAIBA NDIAGNE 1,1,121,ABRI PROVISOIRE
DIOURBEL,NDINDY,TALLAKH,1,252,ABRI PROVISOIRE
