DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,TOURE MBONDE,DARA,1,341,SALLE 1
DIOURBEL,TOURE MBONDE,ECOLE MELO FALL,1,234,SALLE 1
DIOURBEL,TOURE MBONDE,ECOLE SAREME OUOLOF,1,429,SALLE 1
DIOURBEL,TOURE MBONDE,E F A NGALAGNE,1,363,SALLE 1
DIOURBEL,TOURE MBONDE,KANE KANE,1,445,MAGASIN FIDA
DIOURBEL,TOURE MBONDE,KEUR TAMSIR,1,410,CLASSE CI CP
DIOURBEL,TOURE MBONDE,KONTEYENE DAPPA,1,460,CLASSE CP
DIOURBEL,TOURE MBONDE,MBAYENE DIMB,1,131,ABRI PROVISOIRE
DIOURBEL,TOURE MBONDE,SAREME SERERE,1,572,CLASSE CI
DIOURBEL,TOURE MBONDE,SEMBENE,1,473,CLASSE CM1 CE2
DIOURBEL,TOURE MBONDE,THIANDIGUE,1,344,ABRI PROVISOIRE
DIOURBEL,TOURE MBONDE,THISSE,1,94,ABRI PROVISOIRE
DIOURBEL,TOURE MBONDE,TOURE MBONDE,1,244,CLASSE CM2
DIOURBEL,TOURE MBONDE,TOURE MBONDE,2,245,CLASSE CI
