DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,PATTAR,DAROU SAMBE,1,531.0,CLASSE CM2
DIOURBEL,PATTAR,DAROU SAMBE,2,529.0,CLASSE CE2
DIOURBEL,PATTAR,DIAKAEL DIGUE,1,332.0,CLASSE CI
DIOURBEL,PATTAR,DIAKAEL DIGUE,2,333.0,CLASSE CP
DIOURBEL,PATTAR,ECOLE DABEL BARA,1,234.0,SALLE 1
DIOURBEL,PATTAR,ECOLE SAMBE NGOTHIE,1,207.0,SALLE 1
DIOURBEL,PATTAR,ECOLE SAMBE PEULH 1,1,272.0,SALLE 1
DIOURBEL,PATTAR,GAPPO,1,526.0,CLASSE CM2
DIOURBEL,PATTAR,KHABANE,1,216.0,ABRI PROVISOIRE
DIOURBEL,PATTAR,KHODJIL MBOSSEKH,1,482.0,CLASSE CM2
DIOURBEL,PATTAR,KHODJIL MBOSSEKH,2,327.0,CLASSE CI A
DIOURBEL,PATTAR,KOEL SERERE,1,145.0,SALLE DE CLASSE 1
DIOURBEL,PATTAR,NDIONAYE,1,358.0,CLASSE CE2
DIOURBEL,PATTAR,PATTAR,1,293.0,CLASSE CM2
DIOURBEL,PATTAR,PATTAR,2,292.0,CLASSE CM1
DIOURBEL,PATTAR,SAMBE NGUINTH,1,388.0,CASE SANTE
DIOURBEL,PATTAR,SAMBE NGUINTH,2,389.0,ABRI PROVISOIRE
DIOURBEL,PATTAR,SAMBE PEULH 2,1,383.0,CLASSE CE2
DIOURBEL,PATTAR,SAMBE TOKOSSONE 2,1,123.0,ABRI PROVISOIRE
DIOURBEL,PATTAR,SASSE,1,396.0,CLASSE CM1
DIOURBEL,PATTAR,THIOBE OUOLOF,1,422.0,CLASSE CM1
