DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUNGHEUL,LOUR ESCALE,BELEL BABOU,1,597.0,ECOLE SALLE 1
KOUNGHEUL,LOUR ESCALE,COURA KHAYE,1,465.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,COURA MOURIDE,1,588.0,CASE DE SANTE
KOUNGHEUL,LOUR ESCALE,COURA THIOBERI,1,327.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,DAROU SALAM NGUEYENE,1,218.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,GOUYE DIARAF CAMPEMENT,1,333.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,HAMDALLAYE PEULH,1,349.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,LOUR ESCALE 2,1,506.0,ECOLE SALLE 1
KOUNGHEUL,LOUR ESCALE,LOUR ESCALE 2,2,528.0,ECOLE SALLE 2
KOUNGHEUL,LOUR ESCALE,LOUR ESCALE 2,3,528.0,MAISON COMMUNAUTAIRE
KOUNGHEUL,LOUR ESCALE,LOUR ESCALE 2,4,501.0,ECOLE SALLE 5
KOUNGHEUL,LOUR ESCALE,MEDINA TOBENE 1,1,341.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,NDIAYENE LOUR,1,570.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,NGOUYE DIARAF MOURIDE,1,458.0,ECOLE SALLE 1
KOUNGHEUL,LOUR ESCALE,NIOLE PEULH,1,218.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,SOBEL DIAM DIAM,1,316.0,ECOLE SALLE 1
KOUNGHEUL,LOUR ESCALE,SOBEL DIAM DIAM,2,317.0,ECOLE SALLE 2
KOUNGHEUL,LOUR ESCALE,SOBEL NIOLE,1,258.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,TOUBA ALI MBENDA,1,343.0,CASE DE SANTE
KOUNGHEUL,LOUR ESCALE,TOUBA ALI MBENDA,2,345.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,TOUBA ALI MBENDA 2,1,161.0,DAROU DAME LEYE ECOLE CLASSE CE1
KOUNGHEUL,LOUR ESCALE,TOUBA GALLO,1,318.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,TOUBA THIARENE,1,405.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,TOUBA THIARENE,2,405.0,ABRI PROVISOIRE
KOUNGHEUL,LOUR ESCALE,YETTI KHAYE,1,565.0,CASE DE SANTE
