DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUNGHEUL,SALY ESCALE,BOUSTANE KOUCOTO,1,317.0,ECOLE SALLE 1
KOUNGHEUL,SALY ESCALE,BOUSTANE KOUCOTO,2,317.0,ECOLE SALLE 2
KOUNGHEUL,SALY ESCALE,FASS KATI,1,307.0,ECOLE SALLE 1
KOUNGHEUL,SALY ESCALE,HILIASSA,1,384.0,ABRI PROVISOIRE
KOUNGHEUL,SALY ESCALE,KEUR ALI LOBE,1,358.0,ABRI PROVISOIRE
KOUNGHEUL,SALY ESCALE,KEUR BARA,1,280.0,ABRI PROVISOIRE
KOUNGHEUL,SALY ESCALE,KEUR MANDOUMBE,1,467.0,ECOLE SALLE 1
KOUNGHEUL,SALY ESCALE,KEUR MANDOUMBE,2,469.0,ECOLE SALLE 2
KOUNGHEUL,SALY ESCALE,KEUR SAGAR NDIAYE,1,316.0,ABRI PROVISOIRE
KOUNGHEUL,SALY ESCALE,KEUR SAMBA NDIAMBANE,1,407.0,CASE DE SANTE
KOUNGHEUL,SALY ESCALE,KHOSS NANOU,1,286.0,ABRI PROVISOIRE
KOUNGHEUL,SALY ESCALE,KOO SOCE,1,282.0,ECOLE SALLE 1
KOUNGHEUL,SALY ESCALE,KOUMBIDIA PEULH,1,272.0,ABRI PROVISOIRE
KOUNGHEUL,SALY ESCALE,KOUMBIDIA SOCE,1,533.0,ECOLE SALLE 1
KOUNGHEUL,SALY ESCALE,MAKA GOUYE OUOLOF,1,397.0,ABRI PROVISOIRE
KOUNGHEUL,SALY ESCALE,MINAL IBRA DIENG,1,251.0,ABRI PROVISOIRE
KOUNGHEUL,SALY ESCALE,NDIAPTO SALI,1,278.0,ABRI PROVISOIRE
KOUNGHEUL,SALY ESCALE,PAKABOURE,1,552.0,ABRI PROVISOIRE
KOUNGHEUL,SALY ESCALE,SALI ESCALE,1,333.0,MAISON COMMUNAUTAIRE
KOUNGHEUL,SALY ESCALE,SALI ESCALE,2,333.0,ECOLE SALLE 1
KOUNGHEUL,SALY ESCALE,SINE MATAR,1,331.0,ECOLE SALLE 1
KOUNGHEUL,SALY ESCALE,THIONGUE PEULH,1,198.0,ABRI PROVISOIRE
KOUNGHEUL,SALY ESCALE,VILANENE 1,1,285.0,ABRI PROVISOIRE
KOUNGHEUL,SALY ESCALE,VOYE BOURE NDOMENE,1,144.0,CASE DE SANTE
KOUNGHEUL,SALY ESCALE,YOMONG,1,314.0,ECOLE SALLE 1
