DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOUNGHEUL,MAKA YOP,DAROU KAFFATE,1,437.0,ECOLE ELEMENTAIRE SALLE 1
KOUNGHEUL,MAKA YOP,DAROU SALAM,1,256.0,ECOLE ELEMENTAIRE SALLE 1
KOUNGHEUL,MAKA YOP,GUERANE FASS,1,393.0,ECOLE SALLE 1
KOUNGHEUL,MAKA YOP,GUERANE FASS,2,392.0,ECOLE SALLE 2
KOUNGHEUL,MAKA YOP,GUERANE GOUMACK,1,275.0,ECOLE SALLE 1
KOUNGHEUL,MAKA YOP,GUERANE GOUMACK,2,275.0,ECOLE SALLE 2
KOUNGHEUL,MAKA YOP,HANENE,1,361.0,ECOLE ELEMENTAIRE SALLE 1
KOUNGHEUL,MAKA YOP,KAFFATE,1,472.0,ECOLE SALLE 1
KOUNGHEUL,MAKA YOP,MAKA YOP,1,401.0,ECOLE SALLE 1
KOUNGHEUL,MAKA YOP,MAKA YOP,2,401.0,ECOLE SALLE 2
KOUNGHEUL,MAKA YOP,MEDINA DEGOUYE,1,507.0,ECOLE SALLE 1
KOUNGHEUL,MAKA YOP,MEDINA DEGOUYE,2,279.0,ECOLE SALLE 2
KOUNGHEUL,MAKA YOP,MEDINA TOBENE,1,239.0,ECOLE ELEMENTAIRE SALLE 1
KOUNGHEUL,MAKA YOP,NGAYENE,1,437.0,ECOLE ELEMENTAIRE SALLE 1
KOUNGHEUL,MAKA YOP,SANTHIE KAFFATE,1,229.0,ECOLE SALLE 1
KOUNGHEUL,MAKA YOP,TAIBA NDIOUFFENE,1,231.0,ECOLE SALLE 1
KOUNGHEUL,MAKA YOP,TANEME,1,227.0,ECOLE ELEMENTAIRE SALLE 1
