DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,DIAGANE BARKA,DIAGANE BARKA THILOR,1,436,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIAGANE BARKA,DIAGANE BARKA THILOR,2,435,CM1 ELEMENTAIRE
FOUNDIOUGNE,DIAGANE BARKA,DIALABA,1,360,ECOLE 1 CLASSE 1
FOUNDIOUGNE,DIAGANE BARKA,ECOLE ELEMENTAIRE KEUR LAHINE NDITI,1,159,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIAGANE BARKA,KEUR ALI GUEYE,1,159,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIAGANE BARKA,KEUR BAKARY CISSE,1,289,ABRI PROVISOIRE
FOUNDIOUGNE,DIAGANE BARKA,KEUR MAMADOU FATOUMA,1,159,CE1 ECOLE ELEMENTAIRE
FOUNDIOUGNE,DIAGANE BARKA,LOUMENE,1,417,ABRI PROVISOIRE
FOUNDIOUGNE,DIAGANE BARKA,NDIAYE NDIAYE SERERE,1,150,CE2 ECOLE ELEMENTAIRE
FOUNDIOUGNE,DIAGANE BARKA,NDOFFANE NDARI,1,296,ECOLE 1 SALLE CM 2
FOUNDIOUGNE,DIAGANE BARKA,NGAYENE MOMAR,1,274,ABRI PROVISOIRE
FOUNDIOUGNE,DIAGANE BARKA,SOROM,1,579,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIAGANE BARKA,SOROM,2,103,ECOLE 1 SALLE 2
