DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,KEUR SAMBA GUEYE,DAGA NDOUP,1,244.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,DAGA NDOUP,2,243.0,ECOLE SALLE DE CLASSE
FOUNDIOUGNE,KEUR SAMBA GUEYE,DIANGANE KEUR GADJI,1,433.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,DJIDA,1,170.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR ALIOU DIOP,1,239.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR AYIB KA,1,535.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR BAKARY CAMARA,1,239.0,ABRI PROVISOIRE
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR BOURAMA BOBO,1,148.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR HAMBOU,1,302.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR NDIANKO,1,348.0,ECOLE ARABE
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR OUSSEYNOU DIENG,1,314.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR OUSSEYNOU DIENG,2,314.0,ECOLE SALLE 2
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR SALOLI BOUYA,1,249.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR SAMBA GUEYE,1,533.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR SAMBA GUEYE,2,532.0,ECOLE SALLE 2
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR SAMBA GUEYE,3,316.0,ECOLE SALLE 3
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR SAMBA NOSSO,1,519.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR SENI GUEYE 1,1,567.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,KEUR THIENDOU,1,351.0,ABRI PROVISOIRE
FOUNDIOUGNE,KEUR SAMBA GUEYE,MAHMOUDA,1,307.0,ABRI PROVISOIRE
FOUNDIOUGNE,KEUR SAMBA GUEYE,MEDINA DJIKOYE,1,383.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,NDIOB KEUR OMAR SARR,1,305.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,PASSI NDENDERLING,1,283.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,SANTHIE RAME,1,374.0,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SAMBA GUEYE,SIRMANG,1,460.0,CASE DE SANTE
FOUNDIOUGNE,KEUR SAMBA GUEYE,THILLA KEUR SERIGNE BABOU,1,172.0,ECOLE ARABE
FOUNDIOUGNE,KEUR SAMBA GUEYE,THIOYENE NIOMBATOU,1,434.0,ABRI PROVISOIRE
