DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,KEUR SALOUM DIANE,BAMBADALLA THIAKHO,1,485,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SALOUM DIANE,BARIA,1,297,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SALOUM DIANE,BARIA,2,296,ECOLE SALLE 2
FOUNDIOUGNE,KEUR SALOUM DIANE,COULAR,1,369,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SALOUM DIANE,COULAR,2,370,ECOLE SALLE 2
FOUNDIOUGNE,KEUR SALOUM DIANE,ECOLE KEUR BAKAR SANTHIE,1,143,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SALOUM DIANE,KERRE,1,148,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR ALADJI MACOUMBA SOUNA,1,309,CASE DE SANTE
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR ANDALLA VILANE,1,265,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR BABOU COUMBA,1,284,ABRI PROVISOIRE
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR BABOU NDITI,1,423,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR BAKA DIAW,1,573,ABRI PROVISOIRE
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR BAKA DIAW,2,32,ECOLE ARABE
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR LAHINE KHOREDIA,1,307,ABRI PROVISOIRE
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR LAHINE SOKHNA,1,347,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR MANDIAYE FATIM,1,324,CASE DE SANTE
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR MOMATH DIAW,1,425,ABRI PROVISOIRE
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR SALOUM DIANE,1,569,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR SALOUM DIANE,2,567,ECOLE SALLE 2
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR SERIGNE BAMBA,1,237,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SALOUM DIANE,KEUR SEYNI GUEYE 2,1,264,CASE DE SANTE
FOUNDIOUGNE,KEUR SALOUM DIANE,NDIAYE COUNDA,1,249,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,KEUR SALOUM DIANE,NDIAYE NDIAYE,1,352,CASE DE SANTE
FOUNDIOUGNE,KEUR SALOUM DIANE,NDRAME MATAR,1,470,ECOLE SALLE 1
FOUNDIOUGNE,KEUR SALOUM DIANE,THIARENE BABOU,1,386,ABRI PROVISOIRE
