DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE 2,1,546.0,CLASSE CE1A
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE 2,2,556.0,CLASSE CM1B
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE 2,3,545.0,CLASSE CIA
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE 2,4,487.0,CLASSE CE 2 A
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE THIAMENE,1,555.0,CLASSE CE1
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE THIAMENE,2,560.0,CLASSE CE2
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE THIAMENE,3,193.0,CLASSE CP A
FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE MAIRIE,1,551.0,ECOLE 1 CLASSE CE1 B
FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE MAIRIE,2,545.0,ECOLE 1 CLASSE CE2 B
FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE MAIRIE,3,546.0,ECOLE 1 CLASSE CM1 B
FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE MAIRIE,4,186.0,ECOLE 1 CLASSE CP A
