DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,SOKONE,CENTRE CATALOUNYA,1,572.0,SALLE DE REUNION
FOUNDIOUGNE,SOKONE,CENTRE CATALOUNYA,2,560.0,SALLE 41
FOUNDIOUGNE,SOKONE,CENTRE CATALOUNYA,3,574.0,SALLE 36
FOUNDIOUGNE,SOKONE,CENTRE CATALOUNYA,4,443.0,SALLE 5
FOUNDIOUGNE,SOKONE,ECOLE DES FILLES,1,551.0,CLASSE CPB
FOUNDIOUGNE,SOKONE,ECOLE DES FILLES,2,543.0,CLASSE CIB
FOUNDIOUGNE,SOKONE,ECOLE DES FILLES,3,559.0,CLASSE CE2B
FOUNDIOUGNE,SOKONE,ECOLE DES FILLES,4,491.0,CLASSE CE1A
FOUNDIOUGNE,SOKONE,ECOLE DES FILLES,5,465.0,CLASSE CM2 B
FOUNDIOUGNE,SOKONE,ECOLE GARCONS,1,546.0,CLASSE CE2B
FOUNDIOUGNE,SOKONE,ECOLE GARCONS,2,539.0,CLASSE CE2A
FOUNDIOUGNE,SOKONE,ECOLE GARCONS,3,540.0,CLASSE CIB
FOUNDIOUGNE,SOKONE,ECOLE GARCONS,4,270.0,CLASSE CI A
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,1,557.0,CLASSE CM2B
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,2,558.0,CLASSE CM1A
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,3,557.0,CLASSE CE2B
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,4,557.0,CLASSE CIB
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,5,556.0,CLASSE CE1A
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,6,515.0,CLASSE CE2A
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,7,516.0,CLASSE CE1 B
