DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,NIORO ALASSANE TALL,DANTAKHOUNE,1,383,ECOLE SALE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,DAROU KEUR IBRAHIMA SAGNANE,1,181,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,DIAMAGUENE,1,341,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,ECOLE ELEMENTAIRE KEUR AMATH SEUNE,1,329,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,ECOLE ELEMENTAIRE KEUR IBRA MBERI,1,224,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,ECOLE ELEMENTAIRE PASSI DIEMOUL,1,216,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR GAYE YACINE,1,304,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR LAHINE FATIM,1,363,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR LAHINE FATIM,2,362,ECOLE SALLE DE CLASSE
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR MALICK FADI,1,193,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR MAMA LAMINE SERERE,1,553,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR MAMA LAMINE SERERE,2,128,ECOLE SALLE 2
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR NGATANOR,1,370,ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR OMAR MBOMBE,1,157,ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR SABASSI,1,286,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR SAER GUEYE,1,360,ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR SERIGNE KHODIA,1,492,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,NDIAW MALICK,1,324,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,NDIAYENE KADE,1,296,ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,NDIAYENE MOUSSA,1,327,ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,NDIOKHOLOKHO,1,406,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,NDIOP THIARENE,1,339,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,NDRAME SADIABOU,1,454,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,NDRAME SADIABOU,2,125,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,NGAYEME THIEBO,1,311,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,NGAYEME THIEBO,2,310,ECOLE SALLE 2
FOUNDIOUGNE,NIORO ALASSANE TALL,NGOUGOUL,1,280,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,NIORO ALASSANE TALL,1,460,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,NIORO ALASSANE TALL,2,470,ECOLE SALLE 2
FOUNDIOUGNE,NIORO ALASSANE TALL,NIORO ALASSANE TALL,3,152,ECOLE SALLE 3
FOUNDIOUGNE,NIORO ALASSANE TALL,PAKALLA,1,392,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,PAKALLA,2,394,ECOLE SALLE 2
FOUNDIOUGNE,NIORO ALASSANE TALL,PAYOMA,1,245,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,SIMONG DIENE,1,248,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,THIOYENE NIOMBATO,1,324,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,TOUBA MOURIDE,1,318,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,TOUBA MOURIDE,2,317,ECOLE SALLE 2
