DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,NIASSENE,DAGA BIRAME,1,351.0,ECOLE 1 SALLE 1
FOUNDIOUGNE,NIASSENE,DAGA DIERI SERERE,1,572.0,ECOLE 1 SALLE 1
FOUNDIOUGNE,NIASSENE,DAGA DIERI SERERE,2,114.0,ECOLE 1 SALLE 2
FOUNDIOUGNE,NIASSENE,DAROU KEUR MOR KHOREDIA,1,531.0,ECOLE 1 SALLE 1
FOUNDIOUGNE,NIASSENE,DIAGANE SADER,1,566.0,MAGASIN CEREALIER
FOUNDIOUGNE,NIASSENE,FASS MATAR,1,316.0,ECOLE 1 CLASSE 1
FOUNDIOUGNE,NIASSENE,KEUR BIRANE KHOREDIA,1,573.0,ECOLE 1 SALLE 1
FOUNDIOUGNE,NIASSENE,KEUR BIRANE KHOREDIA,2,31.0,ECOLE 1 SALLE 2
FOUNDIOUGNE,NIASSENE,KEUR KHALIFA,1,238.0,ABRI PROVISOIRE
FOUNDIOUGNE,NIASSENE,KEUR MBANGOU SECCO,1,290.0,MATERNITE
FOUNDIOUGNE,NIASSENE,MEDINA KEBE,1,456.0,ABRI PROVISOIRE
FOUNDIOUGNE,NIASSENE,NDIAGNENE ISSOUB,1,528.0,ABRI PROVISOIRE
FOUNDIOUGNE,NIASSENE,NDIANKHA YOUSSOUPHA,1,234.0,ECOLE ELEMENTAIRE ABRI PROV.
FOUNDIOUGNE,NIASSENE,NDIOURBEL,1,337.0,ECOLE 1 SALLE 1
FOUNDIOUGNE,NIASSENE,NIASSENE,1,494.0,ECOLE 1 SALLE 1
FOUNDIOUGNE,NIASSENE,THIAMENE DIOGO,1,334.0,ECOLE 1 SALLE 1
