DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,1,562,ECOLE ELEMENTAIRE ABD SALLE 1
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,2,566,ECOLE ELEMENTAIRE ABD SALLE 3
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,3,562,ECOLE ELEMENTAIRE ABD SALLE 5
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,4,568,ECOLE ELEMENTAIRE ABD SALLE 7
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,5,576,ECOLE ELEMENTAIRE ABD SALLE 4
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,6,569,ECOLE ELEMENTAIRE ABD SALLE11
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,7,560,ECOLE ELEMENTAIRE ABD SALLE 8
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,8,572,SALLE 12
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,9,550,SALLE 9
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,10,452,SALLE 2
FATICK,NIAKHAR,ECOLE ARABE MBOLTOGNE,1,397,SALLE DE CLASSE
FATICK,NIAKHAR,ECOLE PUBLIQUE LANGHEME,1,426,SALLE 3
FATICK,NIAKHAR,ECOLE PUBLIQUE MBAFAYE,1,402,SALLE 2
FATICK,NIAKHAR,ECOLE PUBLIQUE NDIANEME,1,222,SALLE 1
FATICK,NIAKHAR,ECOLE PUBLIQUE NDIEMOU,1,316,SALLE 1
FATICK,NIAKHAR,ECOLE PUBLIQUE NIONDOUNE,1,158,SALLE 1
FATICK,NIAKHAR,ECOLE PUBLIQUE PODOME,1,251,SALLE 1
FATICK,NIAKHAR,ECOLE PUBLIQUE SAGNE FOLO,1,260,SALLE 1
FATICK,NIAKHAR,ECOLE PUBLIQUE SASS MACK,1,236,SALLE 1
FATICK,NIAKHAR,GODAGUENE,1,365,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,MBANE,1,348,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,MBOUDAYE,1,550,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,MBOUKHOUTOUR,1,250,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,MEME,1,365,ECOLE ELEMENTAIRE S1
FATICK,NIAKHAR,NDOSS MBADIOCK,1,367,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,NDOSS MBADIOCK,2,368,ECOLE PUBLIQUE SALLE 4
FATICK,NIAKHAR,NIANIANE,1,429,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,POUKHAME,1,304,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,SAGNE,1,489,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,SANGHAIE,1,480,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,SANGHAIE,2,481,ECOLE PUBLIQUE SALLE 4
FATICK,NIAKHAR,SOROKH,1,518,ECOLE ELEMENTAIRE SALLE 1
FATICK,NIAKHAR,YENGUELE,1,344,ECOLE PUBLIQUE ELEMENT SALLE 1
FATICK,NIAKHAR,YENGUELE,2,344,ECOLE PIBLIQUE ELEMENT SALLE 3
