DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,THIARE NDIALGUI,BOFF MBALENE 1,1,590,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,BOFF MBALENE 1,2,20,SALLE 4
FATICK,THIARE NDIALGUI,DIADEL,1,410,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,ECOLE BOOF LOULOUM,1,599,C.T.P. SALLE 1
FATICK,THIARE NDIALGUI,ECOLE FANDANE,1,188,ECOLE SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,ECOLE NDIELEME FARBA,1,324,SALLE 2
FATICK,THIARE NDIALGUI,ECOLE NDJILASSEME KEUR BISSICK,1,268,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,ECOLE NDOFFANE MOURIDE,1,332,ECOLE SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,MARANE,1,594,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,MARONEME,1,584,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,MBAMANE DIARAF,1,514,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,MBINE MBASSA,1,153,SALLE DE CLASSE 1 ECOLE PRIVEE
FATICK,THIARE NDIALGUI,MONE,1,358,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,NDJILASSEME,1,417,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,NDJILASSEME,2,414,SALLE DE CLASSE 4
FATICK,THIARE NDIALGUI,NDOFFENE,1,431,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,SASS LINGUERE,1,546,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,THIARE NDIALGUI,1,495,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,THIARE NDIALGUI,2,495,ECOLE ELEMENTAIRE SALLE 4
FATICK,THIARE NDIALGUI,THIOUTHIOUNE,1,309,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,TOFAYE,1,455,SALLE DE CLASSE 1
FATICK,THIARE NDIALGUI,TOFAYE,2,453,SALLE DE CLASSE 4
