DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,PATAR,DIADIAKH,1,582.0,ECOLE PUBLIQUE ELEMENT SALLE 1
FATICK,PATAR,DIADIAKH,2,52.0,ECOLE PUBLIQUE ELEMENT SALLE 2
FATICK,PATAR,DIANDOUME,1,352.0,ECOLE PUBLIQUE ELEMENT SALLE 1
FATICK,PATAR,DIANE,1,379.0,ECOLE PUBLIQUE ELEMENT SALLE 1
FATICK,PATAR,DIANE,2,379.0,ECOLE ELEMENTAIRE S3
FATICK,PATAR,ECOLE NDIONE THIOGOME,1,355.0,SALLE 1
FATICK,PATAR,ECOLE NGARY MADAME NDIAYE,1,588.0,ECOLE PUB ELEMENTAIRE SALLE 1
FATICK,PATAR,ECOLE NGARY MADAME NDIAYE,2,589.0,ECOLE PUB ELEMENTAIRE SALLE 4
FATICK,PATAR,ECOLE NGARY MADAME NDIAYE,3,588.0,ECOLE PUB ELEMENTAIRE SALLE 7
FATICK,PATAR,ECOLE NGARY MADAME NDIAYE,4,59.0,SALLE 3
FATICK,PATAR,ECOLE PUBLIQUE BACK,1,247.0,SALLE 1
FATICK,PATAR,ECOLE PUBLIQUE LAKHAR,1,224.0,SALLE 2
FATICK,PATAR,ECOLE PUBLIQUE MBAKHANE,1,567.0,SALLE 1
FATICK,PATAR,ECOLE PUBLIQUE SOMA,1,264.0,SALLE 2
FATICK,PATAR,ECOLE SAMBA TOUDE,1,398.0,SALLE 1
FATICK,PATAR,MAKHADJI,1,249.0,ECOLE PUBLIQUE SALLE 1
FATICK,PATAR,MBADATTE,1,428.0,ECOLE PUBLIQUE ELEMENT SALLE 1
FATICK,PATAR,MBADATTE,2,282.0,ECOLE ELEMENTAIRE S4
FATICK,PATAR,MBOUL,1,336.0,ECOLE PUBLIQUE ELEMENT SALLE 1
FATICK,PATAR,NDIAMBOUR SINE,1,464.0,ECOLEPUBLIQUE ELEMENT SALLE 1
FATICK,PATAR,NDIAMBOUR SINE,2,463.0,ECOLE PUBLIQUE ELEMENT SALLE 4
FATICK,PATAR,NDIAMBOUR SINE,3,464.0,ECOLE ELEMENTAIRE S4
FATICK,PATAR,NDIDOR,1,473.0,ECOLE PUBLIQUE ELEMENT SALLE 1
FATICK,PATAR,NDIOULBET,1,512.0,ECOLE PUB ELEMENTAIRE SALLE 1
FATICK,PATAR,NGALAGNE DIARAF,1,338.0,ECOLE PUB ELEMENTAIRE SALLE 1
FATICK,PATAR,TELLAYARGOUYE,1,496.0,ECOLE PUB ELEMENTAIRE SALLE 1
FATICK,PATAR,WAKHALDIAM,1,397.0,ECOLE PUB ELEMENTAIRE SALLE 1
FATICK,PATAR,WAKHALDIAM,2,398.0,ECOLE PUB ELEMENTAIRE SALLE 2
