DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,PALMARIN FACAO,ECOLE PALMARIN DIAKHANOR,1,344,SALLE 1
FATICK,PALMARIN FACAO,ECOLE PALMARIN FACAO,1,487,SALLE 1
FATICK,PALMARIN FACAO,ECOLE PUBLIQUE DJIFFERE,1,278,SALLE 1
FATICK,PALMARIN FACAO,ECOLE PUBLIQUE DJIFFERE,2,277,SALLE 2
FATICK,PALMARIN FACAO,ECOLE PUBLIQUE DJIFFERE,3,277,SALLE 3
FATICK,PALMARIN FACAO,PALMARIN FACAO,1,478,ECOLE PUBLIQUE CLASSE SN1
FATICK,PALMARIN FACAO,PALMARIN FACAO,2,475,ECOLE PUBLIQUE CLASSE SN4
FATICK,PALMARIN FACAO,PALMARIN FACAO,3,419,ECOLE PUBLIQUE SALLE 2
FATICK,PALMARIN FACAO,PALMARIN NGALLOU,1,587,ECOLE PUBLIQUE CLASSE N1
FATICK,PALMARIN FACAO,PALMARIN NGALLOU,2,584,ECOLE PUBLIQUE CLASSE N3
FATICK,PALMARIN FACAO,PALMARIN NGALLOU,3,584,ECOLE PUBLIQUE CLASSE N5
FATICK,PALMARIN FACAO,PALMARIN NGALLOU,4,60,ECOLE PUBLIQUE
