DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,MBELLACADIAO,DIAGLE,1,213.0,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,ECOLE NGOULOUL SERERE,1,386.0,ECOLE SALLE DE CLASSE 1
FATICK,MBELLACADIAO,MBELLACADIAO ECOLE,1,584.0,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,MBELLACADIAO ECOLE,2,589.0,SALLE DE CLASSE 4
FATICK,MBELLACADIAO,MBELLACADIAO ECOLE,3,585.0,SALLE DE CLASSE 6
FATICK,MBELLACADIAO,MBELLACADIAO ECOLE,4,60.0,SALLE DE CLASSE 7
FATICK,MBELLACADIAO,MBOTIL COOP,1,300.0,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,MBOUMA,1,448.0,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,NDAYRI,1,564.0,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,NDOFFANE LATIR,1,477.0,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,NGOULOUL PEULH,1,192.0,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,NGUIDINE SERERE,1,368.0,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,OUYAL SANDE SERERE,1,519.0,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,POUKHAME TOCK,1,510.0,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,POUKHAME TOCK,2,122.0,ECOLE ELEMENTAIRE SALLE CM1
FATICK,MBELLACADIAO,SAKHAO PLACE DU VILLAGE,1,547.0,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,TAGDIAM,1,240.0,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,THIABA,1,231.0,SALLE DE CLASSE 1
