DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,DODJI,ASRE GAWDI,1,113.0,ECOLE ELEMENTAIRE
LINGUERE,DODJI,BARRY,1,163.0,CLASSE ECOLE ELEMENTAIRE
LINGUERE,DODJI,BELLY WELY,1,203.0,BELY OLY (ABRI PROVISOIRE)
LINGUERE,DODJI,BOWE OUROURBE,1,426.0,C LASSE CM1
LINGUERE,DODJI,DASS NGOUROU,1,181.0,CLASSE ECOLE ELEMENTAIRE
LINGUERE,DODJI,DODJI,1,463.0,CLASSE CI
LINGUERE,DODJI,DODJI,2,463.0,CLASSE CM1
LINGUERE,DODJI,DODJI,3,463.0,CLASSE CM2
LINGUERE,DODJI,DODJI PEUL 2,1,171.0,ECOLE THIELLE
LINGUERE,DODJI,DOUN DOUN LATHIE,1,202.0,ABRI PROVISOIRE
LINGUERE,DODJI,DOUN DOUN ORIENTAL,1,287.0,CLASSE ECOLE ELEMENTAIRE
LINGUERE,DODJI,KABIL 2,1,210.0,ABRI PROVISOIRE
LINGUERE,DODJI,KADJI,1,385.0,CLASSE CM1
LINGUERE,DODJI,KADJI,2,385.0,CLASSE CM2
LINGUERE,DODJI,KADJI NIANGHENE,1,174.0,ECOLE ARABE
LINGUERE,DODJI,KHOL KHOL,1,247.0,CLASSE CM2
LINGUERE,DODJI,KODIOLEL,1,151.0,TIDIANDE
LINGUERE,DODJI,MERINA KHOL KHOL,1,464.0,CLASSE CM1
LINGUERE,DODJI,PORAME PEULH 1,1,438.0,ABRI PROVISOIRE
LINGUERE,DODJI,PORAM PEULH 2,1,236.0,CLASSE CI
LINGUERE,DODJI,THIATNGOL PALOL,1,155.0,CLASSE ECOLE ELEMENTAIRE
LINGUERE,DODJI,VENDOU BEYE 1,1,371.0,ABRI PROVISOIRE
LINGUERE,DODJI,WENDOU BEYE WOUROGAWDI,1,190.0,CLASSE CI
