DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,BARKEDJI,BARKEDJI,1,599,ECOLE BAMBOL SOW CLASSE CM2 A
LINGUERE,BARKEDJI,BARKEDJI,2,599,ECOLE BAMBOL SOW CLASSE CM1
LINGUERE,BARKEDJI,BARKEDJI,3,600,ECOLE BAMBOL SOW CLASSE CP
LINGUERE,BARKEDJI,BARKEDJI,4,600,ECOLE BAMBOL SOW CLASSE CIA
LINGUERE,BARKEDJI,BARKEDJI,5,599,ECOLE BAMBOL SOW CLASSE CIB
LINGUERE,BARKEDJI,BARKEDJI,6,599,ECOLE BAMBOL SOW CLASSE CE 1
LINGUERE,BARKEDJI,BARKEDJI,7,600,ECOLE BAMBOL SOW CLASSE CE 2
LINGUERE,BARKEDJI,BARKEDJI,8,598,GRANDE SALLE CASE DES TOUT-PETITS
LINGUERE,BARKEDJI,BOUBACK,1,109,SALLE DE CLASSE
LINGUERE,BARKEDJI,DJABAL,1,302,CLASSE ECOLE ELEMENTAIRE
LINGUERE,BARKEDJI,DJAGALY,1,550,CLASSE CM2
LINGUERE,BARKEDJI,DJAGALY,2,550,CLASSE CI
LINGUERE,BARKEDJI,DJAGALY,3,550,CLASSE CE2
LINGUERE,BARKEDJI,DJIMBANANE AMADY AMATH,1,320,ECOLE CLASSE CI
LINGUERE,BARKEDJI,GASSET OUOLOFF,1,180,ECOLE CLASSE CI
LINGUERE,BARKEDJI,LOUMBEL LANA ECOLE ELEMENTAIRE,1,276,ECOLE ELEMENTAIRE CLASSE
LINGUERE,BARKEDJI,MBOUL DJOLOFF,1,113,ABRI PROVISOIRE
LINGUERE,BARKEDJI,MOGUERE,1,262,CLASSE ECOLE ELEMENTAIRE
LINGUERE,BARKEDJI,NDILLA,1,301,CLASSE CI
LINGUERE,BARKEDJI,SAMMALY,1,332,ECOLE CLASSE CE2
LINGUERE,BARKEDJI,TORDIOL 1,1,425,CLASSE CP
LINGUERE,BARKEDJI,TOUBA LINGUERE,1,227,CLASSE CE 2
LINGUERE,BARKEDJI,TOUNG PEULH,1,440,ECOLE CLASSE CI
