DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,GASSANE,BELEL DIAWBE,1,206,SALLE CLASSE CI
LINGUERE,GASSANE,BELTATY SERERE,1,225,ECOLE ARABE BELTATY SERERE
LINGUERE,GASSANE,DAROU MINAME TAIF,1,286,SALLE CLASSE CP
LINGUERE,GASSANE,DAROU SAL DIOP,1,259,ECOLE CLASSE CI
LINGUERE,GASSANE,DAROU SAL DIOP,2,258,ECOLE CLASSE CP
LINGUERE,GASSANE,FASS LOLY,1,274,CASE DE SANTE
LINGUERE,GASSANE,FASS TOURE,1,263,ABRI PROVISOIRE
LINGUERE,GASSANE,FASS TOURE,2,264,ABRI PROVISOIRE
LINGUERE,GASSANE,GASSANE,1,460,CLASSE CM2A
LINGUERE,GASSANE,GASSANE,2,459,CLASSE CM2B
LINGUERE,GASSANE,GASSANE,3,460,CLASSE CE2A
LINGUERE,GASSANE,GASSANE,4,460,CLASSE CE1
LINGUERE,GASSANE,GASSANE,5,458,CLASSE CP
LINGUERE,GASSANE,GASSANE,6,458,CLASSE CI
LINGUERE,GASSANE,GASSANE,7,460,CLASSE CE2B
LINGUERE,GASSANE,MEDINA NGUEYENE,1,287,ECOLE CLASSE CI
LINGUERE,GASSANE,SANGUE,1,302,CLASSE CM1
LINGUERE,GASSANE,SANGUE,2,301,SALLE DE CLASSE
LINGUERE,GASSANE,TOUBA OLDOU,1,254,CLASSE CM1
LINGUERE,GASSANE,TOUBA TOURE SIBOL,1,156,ECOLE CLASSE CI
