DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
LINGUERE,LABGAR,ASRE KODIOLY,1,263,CASE DE SANTE
LINGUERE,LABGAR,BOULOGNE 1,1,246,ECOLE ELEMENTAIRE SALL 1
LINGUERE,LABGAR,GAIDOUME AIRANKOBE,1,414,ECOLE ELEMENTAIRE GAIDOUME
LINGUERE,LABGAR,KHADAR,1,508,CASE DE SANTE
LINGUERE,LABGAR,LABGAR,1,530,CLASSE CI
LINGUERE,LABGAR,LABGAR,2,528,CLASSE CM1
LINGUERE,LABGAR,LABGAR,3,528,CLASSE CM2
LINGUERE,LABGAR,LABGAR,4,529,CLASSE CE2
LINGUERE,LABGAR,LOUMBI BOLOUMBI,1,277,CLASSE CI
LINGUERE,LABGAR,LOUMBOL DJIBY 2,1,496,ABRI PROVIROIRE
LINGUERE,LABGAR,LOUMBY MBAREDJI,1,338,ABRI PROVISOIRE
LINGUERE,LABGAR,TETHIERLE NDAVEDJI,1,367,CLASSE ECOLE ELEMENTAIRE
