REGION,DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MATAM,KANEL,AOURE,AOURE,1,556.0,ECOLE CLASSE CI
MATAM,KANEL,AOURE,AOURE,2,556.0,ECOLE CLASSE CE1
MATAM,KANEL,AOURE,AOURE,3,557.0,ECOLE CLASSE CE2
MATAM,KANEL,AOURE,AOURE,4,557.0,ECOLE CLASSE CM1
MATAM,KANEL,AOURE,AOURE,5,552.0,CM 2 A
MATAM,KANEL,AOURE,AOURE,6,554.0,SALLE DE CLASSE
MATAM,KANEL,AOURE,BOKISSABOUDOU,1,399.0,ECOLE CLASSE CI
MATAM,KANEL,AOURE,BOULBI,1,365.0,ABRI PROVISOIRE
MATAM,KANEL,AOURE,DIALLOUBE,1,595.0,ECOLE CLASSE CI
MATAM,KANEL,AOURE,DIALLOUBE,2,594.0,ECOLE CLASSE CE2
MATAM,KANEL,AOURE,DIAMOUGUEL,1,522.0,ECOLE CLASSE CI
MATAM,KANEL,AOURE,DIAMOUGUEL,2,519.0,ECOLE CLASSE CP
MATAM,KANEL,AOURE,DIAMOUGUEL,3,522.0,ECOLE CLASSE CM1
MATAM,KANEL,AOURE,DIAOBE KOBILO,1,263.0,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,DIAOBE KOBILO,2,158.0,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,DOUDE BAGUE,1,214.0,ABRI PROVISOIRE
MATAM,KANEL,AOURE,DOUNDE,1,508.0,ECOLE CLASSE CM1
MATAM,KANEL,AOURE,DOUNDE,2,510.0,ECOLE CLASSE CI
MATAM,KANEL,AOURE,DOUNDE,3,509.0,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,GODIOVEL,1,388.0,ABRI PROVISOIRE
MATAM,KANEL,AOURE,GOUREL DARA,1,264.0,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,HAMDALLAYE,1,234.0,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,LOBOUGAL,1,108.0,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,LOUGUE NODI,1,260.0,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,MAYEL NDAGANE,1,127.0,ECOLE SALLE DE CLASSE
MATAM,KANEL,AOURE,NDIOTT,1,436.0,ECOLE CLASSE CI
MATAM,KANEL,AOURE,NDIOTT,2,437.0,CP
