DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBACKE,MISSIRAH (MBACKE),DAROU RAHMANE 2,1,545,ABRI PROVISOIRE
MBACKE,MISSIRAH (MBACKE),DAROU RAHMANE 2,2,266,ABRI PROVISOIRE
MBACKE,MISSIRAH (MBACKE),KHAMNANE,1,265,CLASSE CP
MBACKE,MISSIRAH (MBACKE),KHEWAR MISSIRAH,1,476,ABRI PROVISOIRE
MBACKE,MISSIRAH (MBACKE),LOUGOUL,1,177,CLASSE CE1
MBACKE,MISSIRAH (MBACKE),MBAYENE MISSIRAH,1,197,ABRI PROVISOIRE
MBACKE,MISSIRAH (MBACKE),MISSIRAH,1,537,CLASSE CE1
MBACKE,MISSIRAH (MBACKE),MISSIRAH,2,539,CLASSE CE2
MBACKE,MISSIRAH (MBACKE),MISSIRAH,3,540,CLASSE CM1
MBACKE,MISSIRAH (MBACKE),MISSIRAH,4,538,ECOLE ELEMENTAIRE
MBACKE,MISSIRAH (MBACKE),THIASKY,1,231,ABRI PROVISOIRE
