DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,1,582.0,CLASSE CIA
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,2,584.0,CLASSE CPA
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,3,583.0,CLASSE CE1B
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,4,582.0,CLASSE CM1A
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,5,582.0,CLASSE CM2B
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,6,581.0,CLASSE CM2A
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,7,584.0,CLASSE CE1A
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,8,583.0,CLASSE CIC
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,9,581.0,CLASSE CE2A
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,10,580.0,CLASSE CE1 B
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,11,582.0,CLASSE CE1 A
MBACKE,MBACKE,ECOLE DIAMGUENE,1,577.0,CLASSE CE2A
MBACKE,MBACKE,ECOLE DIAMGUENE,2,576.0,CLASSE CM2B
MBACKE,MBACKE,ECOLE DIAMGUENE,3,574.0,CLASSE CIA
MBACKE,MBACKE,ECOLE DIAMGUENE,4,578.0,CLASSE CE1A
MBACKE,MBACKE,ECOLE FRANCO ARABE OMAR DIOP,1,288.0,CLASSE CE1B
MBACKE,MBACKE,ECOLE FRANCO ARABE OMAR DIOP,2,288.0,CLASSE CPB
MBACKE,MBACKE,ECOLE FRANCO ARABE OMAR DIOP,3,289.0,CLASSE CIB
MBACKE,MBACKE,ECOLE FRANCO ARABE OMAR DIOP,4,289.0,CLASSE CE2A
MBACKE,MBACKE,ECOLE FRANCO ARABE OMAR DIOP,5,288.0,CLASSE CM1
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,1,587.0,CLASSE CM1A
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,2,591.0,CLASSE CM2A
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,3,588.0,CLASSE CM2B
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,4,591.0,CLASSE CE2B
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,5,585.0,CLASSE CE1B
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,6,589.0,CLASSE CPB
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,7,587.0,CLASSE CPA
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,8,584.0,CLASSE CIA
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,9,589.0,CLASSE CE 1 C
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,10,591.0,CLASSE CE1A
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,11,585.0,CLASSE CPC
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,12,586.0,CLASSE CP1B
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,13,589.0,CLASSE CE1 A
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,14,588.0,CLASSE CP C
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,15,408.0,CLASSE CM2 C
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,1,574.0,CLASSE CE2A
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,2,573.0,CLASSE CE1A
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,3,575.0,CLASSE CM2B
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,4,576.0,CLASSE CM2A
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,5,570.0,CLASSE CIB
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,6,572.0,CLASSE CIA
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,7,575.0,CLASSE CIC
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,8,577.0,CLASSE CM1C
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,9,575.0,CLASSE CM1A
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,10,568.0,CLASSE CM1 B
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,11,396.0,CLASSE CE1 A
MBACKE,MBACKE,ECOLE MATERNELLE,1,517.0,SALLE 1
MBACKE,MBACKE,ECOLE MATERNELLE,2,517.0,SALLE 2
MBACKE,MBACKE,ECOLE MATERNELLE,3,517.0,SALLE 3
MBACKE,MBACKE,ECOLE MBACKE KHEWAR 1,1,538.0,CLASSE CIA
MBACKE,MBACKE,ECOLE MBACKE KHEWAR 1,2,541.0,CLASSE CE1B
MBACKE,MBACKE,ECOLE MBACKE KHEWAR 1,3,543.0,CLASSE CM1B
MBACKE,MBACKE,ECOLE MBACKE KHEWAR 1,4,545.0,CLASSE CM2A
MBACKE,MBACKE,ECOLE MBACKE KHEWAR 1,5,511.0,CLASSE CE2 A
MBACKE,MBACKE,ECOLE NDIAKALACK,1,585.0,CLASSE CIA
MBACKE,MBACKE,ECOLE NDIAKALACK,2,581.0,CLASSE CPA
MBACKE,MBACKE,ECOLE NDIAKALACK,3,584.0,CLASSE CM2 B
MBACKE,MBACKE,ECOLE NDIAKALACK,4,582.0,CLASSE CM1 B
MBACKE,MBACKE,ECOLE NDIAKALACK,5,586.0,CLASSE CM1A
MBACKE,MBACKE,ECOLE NDIAKALACK,6,582.0,CLASSE CE2B
MBACKE,MBACKE,ECOLE NDIAKALACK,7,583.0,CLASSE CE2 A
MBACKE,MBACKE,ECOLE SERIGNE BASSIROU MBACKE,1,571.0,CLASSE CIB
MBACKE,MBACKE,ECOLE SERIGNE BASSIROU MBACKE,2,568.0,CLASSE CE1B
MBACKE,MBACKE,ECOLE SERIGNE BASSIROU MBACKE,3,568.0,CLASSE CM1A
MBACKE,MBACKE,ECOLE SERIGNE BASSIROU MBACKE,4,563.0,CLASSE CE2A
MBACKE,MBACKE,ECOLE SERIGNE BASSIROU MBACKE,5,299.0,CLASSE CP B
MBACKE,MBACKE,ECOLE SERIGNE MASSAMBA MBACKE,1,555.0,CLASSE CE1A
MBACKE,MBACKE,ECOLE SERIGNE MASSAMBA MBACKE,2,555.0,CLASSE CE1B
MBACKE,MBACKE,ECOLE SERIGNE MASSAMBA MBACKE,3,557.0,CLASSE CP
