DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,SEBIKOTANE,ECOLE ELEMENTAIRE DE NDOYENE 2,1,270,CLASSE CI
RUFISQUE,SEBIKOTANE,ECOLE ELEMENTAIRE DE NDOYENE 2,2,271,CLASSE CM2
RUFISQUE,SEBIKOTANE,ECOLE ELEMENTAIRE SEBI THIOKHO,1,577,CLASSE CI A
RUFISQUE,SEBIKOTANE,ECOLE ELEMENTAIRE SEBI THIOKHO,2,559,SALLE DE CLASSE
RUFISQUE,SEBIKOTANE,ECOLE ELEMENTAIRE SEBI THIOKHO,3,260,CLASSE CP B
RUFISQUE,SEBIKOTANE,ECOLE KIP KIP,1,560,SALLE 1 CM1 A
RUFISQUE,SEBIKOTANE,ECOLE KIP KIP,2,558,SALLE 3 CM2 C
RUFISQUE,SEBIKOTANE,ECOLE KIP KIP,3,561,SALLE 4 CI A
RUFISQUE,SEBIKOTANE,ECOLE KIP KIP,4,141,CLASSE CP A
RUFISQUE,SEBIKOTANE,ECOLE SEBI FASS,1,583,CLASSE CM1 A
RUFISQUE,SEBIKOTANE,ECOLE SEBI FASS,2,583,CLASSE CE1 A
RUFISQUE,SEBIKOTANE,ECOLE SEBI FASS,3,581,CLASSE CE2 A
RUFISQUE,SEBIKOTANE,ECOLE SEBI FASS,4,582,CLASSE CM2 A
RUFISQUE,SEBIKOTANE,ECOLE SEBI FASS,5,584,SALLE DE CLASSE
RUFISQUE,SEBIKOTANE,ECOLE SEBI ROUTE,1,584,CLASSE CP A
RUFISQUE,SEBIKOTANE,ECOLE SEBI ROUTE,2,581,CLASSE CP B
RUFISQUE,SEBIKOTANE,ECOLE SEBI ROUTE,3,581,CLASSE CE1 A
RUFISQUE,SEBIKOTANE,ECOLE SEBI ROUTE,4,581,CLASSE CE1 B
RUFISQUE,SEBIKOTANE,ECOLE SEBI ROUTE,5,583,CLASSE CE2 A
RUFISQUE,SEBIKOTANE,ECOLE SEBI ROUTE,6,581,CLASSE CE2 B
RUFISQUE,SEBIKOTANE,ECOLE SEBI ROUTE,7,579,CLASSE CM1 A
RUFISQUE,SEBIKOTANE,ECOLE SEBI ROUTE,8,582,CLASSE CM1 B
RUFISQUE,SEBIKOTANE,ECOLE SEBI ROUTE,9,581,CLASSE CM2 A
RUFISQUE,SEBIKOTANE,ECOLE SEBI ROUTE,10,581,CLASSE CM2 B
RUFISQUE,SEBIKOTANE,ECOLE SEBI SOUS,1,378,CLASSE CM2
RUFISQUE,SEBIKOTANE,ECOLE SEBI SOUS,2,377,CLASSE CM1
RUFISQUE,SEBIKOTANE,ECOLE SEBI SOUS,3,376,CLASSE CE2 B
RUFISQUE,SEBIKOTANE,ECOLE SEBI SOUS,4,377,CLASSE CE2 A
RUFISQUE,SEBIKOTANE,ECOLE YEBA,1,381,CLASSE CM1
RUFISQUE,SEBIKOTANE,ECOLE YEBA,2,382,CLASSE CE1
RUFISQUE,SEBIKOTANE,ECOLE YEBA,3,379,CLASSE CE2
RUFISQUE,SEBIKOTANE,ECOLE YEBA,4,378,CLASSE CP
RUFISQUE,SEBIKOTANE,FOYER DES JEUNES,1,549,ABRI PROVISOIRE
RUFISQUE,SEBIKOTANE,FOYER DES JEUNES,2,550,ABRI PROVISOIRE
RUFISQUE,SEBIKOTANE,FOYER DES JEUNES,3,550,ABRI PROVISOIRE
