DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,SANGALKAM,CEM KEUR MBABA GUISSE,1,555,SALLE 8
RUFISQUE,SANGALKAM,CEM KEUR MBABA GUISSE,2,553,SALLE 9
RUFISQUE,SANGALKAM,CEM KEUR MBABA GUISSE,3,555,SALLE 10
RUFISQUE,SANGALKAM,CEM KEUR MBABA GUISSE,4,552,SALLE 11
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,1,601,CLASSE CP B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,2,600,CLASSE CE1 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,3,600,CLASSE CE2 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,4,600,CLASSE CM2 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,5,600,CLASSE CM2 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,6,600,CLASSE CE2 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,7,600,CLASSE CE1 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,8,405,CLASSE CM1 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,9,348,SALLE DE CLASSE
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE MEDINA THIOUB,1,590,CLASSE CI A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE MEDINA THIOUB,2,592,CLASSE CI B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE MEDINA THIOUB,3,593,CLASSE CP A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE MEDINA THIOUB,4,591,CLASSE CP B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE MEDINA THIOUB,5,591,CLASSE CP C
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,1,600,SALLE 1
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,2,599,SALLE 2
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,3,600,SALLE 3
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,4,600,SALLE 16
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,5,601,SALLE 17
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,6,600,SALLE 13
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,7,600,SALLE 12
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,8,600,SALLE 8
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,9,600,SALLE 15
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,10,118,SALLE DE CLASSE
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE NDIAKHATE DIGUE,1,581,CLASSE CI A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE NDIAKHATE DIGUE,2,581,CLASSE CE1 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE NDIAKHATE DIGUE,3,582,CLASSE CM2 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE NDIAKHATE DIGUE,4,581,CLASSE CM1 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE NDIAKHATE DIGUE,5,221,SALLE DE CLASSE
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE  NDIAKHIRATE NDIOBENE,1,555,CLASSE CE2 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE  NDIAKHIRATE NDIOBENE,2,555,CLASSE CE2 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE  NDIAKHIRATE NDIOBENE,3,405,CLASSE CM1
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,1,600,CLASSE CE2 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,2,600,CLASSE CE2 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,3,600,CLASSE CM1 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,4,600,CLASSE CM1 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,5,600,CLASSE CM2 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,6,600,CLASSE CM2 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,7,600,CLASSE CE1 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,8,585,CLASSE CE1 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,9,595,CLASSE CP B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,10,238,SALLE DE CLASSE
RUFISQUE,SANGALKAM,ECOLE KEUR DAOUDA SARR,1,497,SALLE 4
RUFISQUE,SANGALKAM,ECOLE KEUR DAOUDA SARR,2,500,SALLE 5
