DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PODOR,DOUMGA LAO,AERE POSTE,1,330.0,CLASSE CE2
PODOR,DOUMGA LAO,AERE POSTE,2,330.0,CLASSE CP
PODOR,DOUMGA LAO,AVGALI,1,329.0,CLASSE CE2
PODOR,DOUMGA LAO,AVGALI,2,329.0,CLASSE CP
PODOR,DOUMGA LAO,BARKEDJI HOUDIABE,1,306.0,CLASSE CE2
PODOR,DOUMGA LAO,BARKEDJI HOUDIABE,2,304.0,CM1
PODOR,DOUMGA LAO,BOKI,1,435.0,CLASSE CE2
PODOR,DOUMGA LAO,BOKI,2,436.0,CLASSE CP
PODOR,DOUMGA LAO,BOKI,3,436.0,CLASSE CM2
PODOR,DOUMGA LAO,COGGA,1,462.0,CLASSE CE1
PODOR,DOUMGA LAO,DIAYNGA PEULH,1,476.0,ABRI PROVISOIRE
PODOR,DOUMGA LAO,DIAYNGA SOUBALO,1,479.0,CLASSE CE2
PODOR,DOUMGA LAO,DOUMGA,1,520.0,CLASSE CE2
PODOR,DOUMGA LAO,DOUMGA,2,519.0,CLASSE CP
PODOR,DOUMGA LAO,DOUMGA,3,518.0,CLASSE CM 1
PODOR,DOUMGA LAO,DOUMGA,4,523.0,CLASSE CI
PODOR,DOUMGA LAO,HOUDALAYE,1,256.0,CLASSE CI
PODOR,DOUMGA LAO,KOYLEL,1,270.0,CLASSE CE1
PODOR,DOUMGA LAO,MELEL,1,158.0,ABRI PROVISOIRE
PODOR,DOUMGA LAO,NDOMANABE,1,331.0,ABRI PROVISOIRE
PODOR,DOUMGA LAO,NDOMANABE,2,331.0,ABRI PROVISOIRE
PODOR,DOUMGA LAO,OUROURBE BEMBA,1,152.0,ABRI PROVISOIRE
PODOR,DOUMGA LAO,OUROURBE BEMBA,2,153.0,ABRI PROVISOIRE
PODOR,DOUMGA LAO,SYVALBE,1,596.0,ABRI PROVISOIRE
PODOR,DOUMGA LAO,SYVALBE,2,597.0,ABRI PROVISOIRE
PODOR,DOUMGA LAO,THIEWEL,1,495.0,CLASSE CE2
PODOR,DOUMGA LAO,THILLY,1,215.0,CLASSE CE2
PODOR,DOUMGA LAO,TOULDE ROUBOUNDE,1,293.0,ABRI PROVISOIRE
PODOR,DOUMGA LAO,VANDE,1,377.0,CLASSE CE1
PODOR,DOUMGA LAO,VETHIANCOBE,1,253.0,ABRI PROVISOIRE
PODOR,DOUMGA LAO,VODABE PENAKA,1,417.0,CLASSE CE2
PODOR,DOUMGA LAO,VODABE PENAKA,2,417.0,CLASSE CP
PODOR,DOUMGA LAO,VORDE,1,352.0,CLASSE CE2
PODOR,DOUMGA LAO,WOURO ARDO,1,527.0,ABRI PROVISOIRE
PODOR,DOUMGA LAO,YARE LAO,1,564.0,CLASSE CP
PODOR,DOUMGA LAO,YARE LAO,2,564.0,CLASSE CE2
