DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE CITE GENDARMERIE,1,541.0,CLASSE CE2 A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE CITE GENDARMERIE,2,545.0,CLASSE CM1 B
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE CITE GENDARMERIE,3,538.0,CLASSE CE1 A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE CITE GENDARMERIE,4,538.0,CLASSE CP B
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE CITE GENDARMERIE,5,539.0,CLASSE CI A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE CITE GENDARMERIE,6,294.0,CE2 B
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 12 B,1,581.0,CLASSE CI A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 12 B,2,578.0,CLASSE CP A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 12 B,3,582.0,CLASSE CE1 A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 12 B,4,576.0,CLASSE CE2 A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 12 B,5,583.0,CLASSE CM1 A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 12 B,6,572.0,CLASSE CM1 B
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 12 B,7,565.0,CLASSE CM2 A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 12 B,8,573.0,CLASSE CM2 B
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 12 B,9,538.0,SALLE DE CLASSE
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 12 B,10,540.0,CE1 B
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 17,1,594.0,CLASSE CI A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 17,2,593.0,CLASSE CP A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 17,3,595.0,CLASSE CE1 A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 17,4,593.0,CLASSE CE2 A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 17,5,593.0,CLASSE CM1 A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 17,6,593.0,CLASSE CM2 A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 17,7,593.0,CLASSE CE1 B
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 17,8,593.0,SALLE DE CLASSE
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 19,1,600.0,CLASSE CI A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 19,2,600.0,CLASSE CE1 A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 19,3,600.0,CLASSE CM1 A
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 19,4,600.0,CLASSE CM2 B
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 19,5,600.0,CLASSE CE1 B
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 19,6,430.0,SALLE DE CLASSE
KEUR MASSAR,JAXAAY-PARCELLES,ECOLE UNITE 19,7,355.0,CI B
