DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,NDIEDIENG,DAROU NIANGHENE,1,111,ECOLE
KAOLACK,NDIEDIENG,DJILEKHAR,1,519,CLASSE CM1
KAOLACK,NDIEDIENG,DJILEKHAR,2,520,CLASSE CP
KAOLACK,NDIEDIENG,ECOLE ARABE THISSE MASS,1,165,SALLE DE CLASSE
KAOLACK,NDIEDIENG,HAFFE,1,231,CLASSE CI
KAOLACK,NDIEDIENG,HAFFE,2,232,CLASSE CM1
KAOLACK,NDIEDIENG,KEUR BANO PEULH,1,185,CLASSE CI
KAOLACK,NDIEDIENG,KEUR GUIRANE SERERE,1,364,ECOLE
KAOLACK,NDIEDIENG,KEUR MADIABOU,1,317,MAGASIN
KAOLACK,NDIEDIENG,KEUR MADICKE,1,198,CLASSE CE2
KAOLACK,NDIEDIENG,KEUR NIENE SERERE,1,332,CLASSE CE2
KAOLACK,NDIEDIENG,KEUR SACOU BAYDI,1,364,CLASSE CP
KAOLACK,NDIEDIENG,MBITEYENE ABDOU,1,397,CLASSE CI
KAOLACK,NDIEDIENG,MBITEYENE ABDOU,2,397,CLASSE CM1
KAOLACK,NDIEDIENG,MBOUDAYE SERERE,1,459,CLASSE CE1A
KAOLACK,NDIEDIENG,MBOUDAYE SERERE,2,459,CLASSE CM1A
KAOLACK,NDIEDIENG,MEDINA MALLE,1,208,ABRI PROVISOIRE
KAOLACK,NDIEDIENG,NDIAKHATE,1,453,CLASSE CI
KAOLACK,NDIEDIENG,NDIAKHATE,2,453,CLASSE CM1
KAOLACK,NDIEDIENG,NDIASSE SADIO,1,346,CLASSE CP
KAOLACK,NDIEDIENG,NDIEDIENG,1,555,CLASSE CE2A
KAOLACK,NDIEDIENG,NDIEDIENG,2,550,CLASSE CPA
KAOLACK,NDIEDIENG,NDIEDIENG,3,549,CLASSE CIA
KAOLACK,NDIEDIENG,NDIEDIENG,4,213,CLASSE CE2 B
KAOLACK,NDIEDIENG,NDIOBENE TALLENE,1,519,CLASSE CE2
KAOLACK,NDIEDIENG,PAYMAR OUOLOF,1,415,CLASSE CM1
KAOLACK,NDIEDIENG,SEKHELA DIARGA,1,301,CLASSE CE2
KAOLACK,NDIEDIENG,TALLENE,1,365,CASE DE SANTE
KAOLACK,NDIEDIENG,TAYBA NIANGHENE,1,330,ECOLE
KAOLACK,NDIEDIENG,THIAKHO NDJIGANE,1,455,ABRI PROVISOIRE
