DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,KEUR BAKA,GANDA OUOLOF,1,415.0,CLASSE CE2
KAOLACK,KEUR BAKA,GANDA OUOLOF,2,415.0,CLASSE CP
KAOLACK,KEUR BAKA,GOBACK,1,393.0,CLASSE CI
KAOLACK,KEUR BAKA,GOBACK,2,392.0,CLASSE CP
KAOLACK,KEUR BAKA,KEUR BAKA,1,527.0,CLASSE CE1
KAOLACK,KEUR BAKA,KEUR BAKA,2,526.0,CLASSE CM1
KAOLACK,KEUR BAKA,KEUR SOUTOURA,1,358.0,CLASSE CP
KAOLACK,KEUR BAKA,MBAMB,1,358.0,CLASSE CM2
KAOLACK,KEUR BAKA,MBAMB,2,358.0,CLASSE CE1
KAOLACK,KEUR BAKA,MBAYLAR OUOLOF,1,576.0,CLASSE CM1
KAOLACK,KEUR BAKA,MBAYLAR OUOLOF,2,101.0,SALLE DE CLASSE
KAOLACK,KEUR BAKA,MBOSS,1,331.0,CLASSE CP
KAOLACK,KEUR BAKA,MEDINA NDAVENE,1,370.0,ECOLE MEDINA NDAVENE CM2
KAOLACK,KEUR BAKA,MEDINA NDAVENE,2,370.0,ECOLE MEDINA NDAVENE CP
KAOLACK,KEUR BAKA,SAMBANDE,1,491.0,CLASSE CM1
KAOLACK,KEUR BAKA,SELICK,1,397.0,CLASSE CE1
KAOLACK,KEUR BAKA,SELICK,2,396.0,CLASSE CM2
KAOLACK,KEUR BAKA,SIKATROUM,1,329.0,CLASSE CE2
KAOLACK,KEUR BAKA,SIKATROUM,2,328.0,CLASSE CM1
KAOLACK,KEUR BAKA,TANDA BAR,1,233.0,CLASSE CE1
KAOLACK,KEUR BAKA,TANDA BAR,2,232.0,CLASSE CM2
KAOLACK,KEUR BAKA,TANDA MBOUDAYE,1,445.0,CLASSE CE1
KAOLACK,KEUR BAKA,TANDA MBOUDAYE,2,444.0,CLASSE CM2
KAOLACK,KEUR BAKA,THIARIACK,1,374.0,CLASSE CE2
KAOLACK,KEUR BAKA,THIARIACK,2,373.0,CLASSE CM2
