DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,NDOFFANE,ECOLE ELEMENTAIRE NO 1,1,533,CM2 A
KAOLACK,NDOFFANE,ECOLE ELEMENTAIRE NO 1,2,532,CM1 A
KAOLACK,NDOFFANE,ECOLE ELEMENTAIRE NO 1,3,532,CE1 A
KAOLACK,NDOFFANE,ECOLE ELEMENTAIRE NO 1,4,532,CI A
KAOLACK,NDOFFANE,ECOLE ELEMENTAIRE NO 1,5,533,CLASSE CE2 A
KAOLACK,NDOFFANE,ECOLE ELEMENTAIRE NO 1,6,533,CPB
KAOLACK,NDOFFANE,ECOLE ELEMENTAIRE NO 2,1,574,CM2 A
KAOLACK,NDOFFANE,ECOLE ELEMENTAIRE NO 2,2,570,CM1 A
KAOLACK,NDOFFANE,ECOLE ELEMENTAIRE NO 2,3,566,CP
KAOLACK,NDOFFANE,ECOLE ELEMENTAIRE NO 2,4,303,CE1 B
KAOLACK,NDOFFANE,ECOLE ELEMENTAIRE NO 4,1,402,CM2
KAOLACK,NDOFFANE,ECOLE ELEMENTAIRE NO 4,2,382,CM1B
KAOLACK,NDOFFANE,ECOLE NOTRE DAME DU LAGHEM,1,576,CP
KAOLACK,NDOFFANE,ECOLE NOTRE DAME DU LAGHEM,2,576,CM1
KAOLACK,NDOFFANE,ECOLE NOTRE DAME DU LAGHEM,3,575,CE1
KAOLACK,NDOFFANE,ECOLE NOTRE DAME DU LAGHEM,4,575,CI
KAOLACK,NDOFFANE,ECOLE NOTRE DAME DU LAGHEM,5,576,CLASSE CE2
