DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,1,580,CLASSE CP A
GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,2,580,CM1A
GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,3,581,CM2A
GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,4,580,CI 2
GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,1,576,CE 2
GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,2,575,CE 1
GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,3,575,CI A
GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,4,576,CM1 B
GUINGUINEO,GUINGUINEO,ECOLE FARABOUGOU,1,450,CE 2
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,1,587,CLASSE CE 1 B
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,2,587,CM1 A
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,3,587,CE2 A
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,4,587,CP A
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,5,587,CP B
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,6,587,CM2 B
GUINGUINEO,GUINGUINEO,MAIRIE,1,552,ECOLE MATERNELLE (P S1)
GUINGUINEO,GUINGUINEO,MAIRIE,2,550,ECOLE MATERNELLE (P SECTION) 2
GUINGUINEO,GUINGUINEO,MAIRIE,3,544,ECOLE MATERNELLE (G SECTION) 1
GUINGUINEO,GUINGUINEO,MAIRIE,4,470,ECOLE MATERNELLE (M S)
GUINGUINEO,GUINGUINEO,MAIRIE,5,469,ECOLE MATERNELLE (G S2)
