DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SAINT LOUIS,SAINT LOUIS,CEM ABDOULAYE MAR DIOP,01,548,SALLE DE CLASSE 3EME A
SAINT LOUIS,SAINT LOUIS,CEM ABDOULAYE MAR DIOP,02,549,SALLE DE CLASSE 3EME C
SAINT LOUIS,SAINT LOUIS,CEM ABDOULAYE MAR DIOP,03,550,SALLE DE CLASSE 5EME A
SAINT LOUIS,SAINT LOUIS,CEM ABDOULAYE MAR DIOP,04,547,SALLE DE CLASSE 6EME B
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,01,593,SALLE 1
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,02,592,SALLE 2
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,03,595,SALLE 3
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,04,591,SALLE 4
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,05,593,SALLE 5
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,06,593,SALLE 6
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,07,590,SALLE 7
SAINT LOUIS,SAINT LOUIS,CEM PIKINE,08,595,SALLE 8
SAINT LOUIS,SAINT LOUIS,CES TELEMAQUE SOW,01,532,SALLE 3
SAINT LOUIS,SAINT LOUIS,CES TELEMAQUE SOW,02,532,SALLE 2
SAINT LOUIS,SAINT LOUIS,CES TELEMAQUE SOW,03,529,SALLE 1
SAINT LOUIS,SAINT LOUIS,CES TELEMAQUE SOW,04,531,SALLE 4
SAINT LOUIS,SAINT LOUIS,CES TELEMAQUE SOW,05,528,SALLE 12
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,01,588,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,02,580,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,03,588,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,04,583,SALLE DE CLASSE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,05,582,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,06,593,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,07,579,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,08,578,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,09,585,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,10,587,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,11,590,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,12,582,QUAI DE PECHE ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE ABDOULAYE KHALY MBENGUE,13,370,ABRI PROVISOIRE
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,01,576,CLASSE CM2A
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,02,575,CLASSE CM2B
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,03,573,CLASSE CE2
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,04,576,CLASSE CM1
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,05,569,CLASSE CI
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,06,576,SALLE DE CLASSE CE1 B
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,07,574,SALLE DE CLASSE CE2 A
SAINT LOUIS,SAINT LOUIS,ECOLE BOUBACAR DIOP,08,568,SALLE DE CLASSE CE2 B
