DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SEDHIOU,BEMET BIDJINI,BEME BIDJINI,1,335.0,ECOLE PRIMAIRE CLASSE CE 2
SEDHIOU,BEMET BIDJINI,BEME BIDJINI,2,333.0,ECOLE PRIMAIRE CLASSE CI A
SEDHIOU,BEMET BIDJINI,BEME BIDJINI,3,334.0,ECOLE PRIMAIRE CM2
SEDHIOU,BEMET BIDJINI,BEME DIATTACOUNDA,1,177.0,ECOLE ELEMENTAIRE SALLE DE CLASSE
SEDHIOU,BEMET BIDJINI,BEMET DJIMANDE,1,162.0,ABRI PROVISOIRE
SEDHIOU,BEMET BIDJINI,DIAFAR DOUMA,1,305.0,ECOLE PRIMAIRE CLASSE CM 1
SEDHIOU,BEMET BIDJINI,DIAFAR DOUMA,2,305.0,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,BEMET BIDJINI,DIAFAR SANTO,1,244.0,ECOLE PRIMAIRE CLASSE CE 1
SEDHIOU,BEMET BIDJINI,DIAFAR SANTO,2,245.0,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,BEMET BIDJINI,DIAO BA,1,179.0,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,BEMET BIDJINI,DIAO BA,2,179.0,ECOLE PRIMAIRE CLASSE CM 1
SEDHIOU,BEMET BIDJINI,DIAO SIMACOUNDA,1,277.0,ECOLE PRIMAIRE CLASSE C M 1
SEDHIOU,BEMET BIDJINI,DIAO SIMACOUNDA,2,276.0,ECOLE PRIMAIRE CLASSE C E 2
SEDHIOU,BEMET BIDJINI,DIAO SOUCOUTOTO,1,221.0,ABRI PROVISOIRE
SEDHIOU,BEMET BIDJINI,FRANCOUNDA DIOLA,1,259.0,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,BEMET BIDJINI,FRANCOUNDA SARAKOLE,1,235.0,ECOLE PRIMAIRE CLASSE CE 1
SEDHIOU,BEMET BIDJINI,FRANCOUNDA SARAKOLE,2,235.0,ECOLE PRIMAIRE CLASSE CM 2
SEDHIOU,BEMET BIDJINI,SIBICOUROTO 2,1,248.0,ECOLE PRIMAIRE CLASSE CE 2
SEDHIOU,BEMET BIDJINI,SIBICOUROTO 2,2,248.0,ECOLE PRIMAIRE CLASSE CM 1
