DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BOUNKILING,DIACOUNDA,ALOUTE MANDINGUE,1,407.0,ECOLE CLASSE SALLE 1
BOUNKILING,DIACOUNDA,BISSARY DIOUB,1,217.0,CLASSE CE1
BOUNKILING,DIACOUNDA,DIACOUNDA,1,458.0,CLASSE CM1
BOUNKILING,DIACOUNDA,DIACOUNDA,2,460.0,CLASSE CM2
BOUNKILING,DIACOUNDA,DJIENDIEME,1,353.0,CLASSE CM1
BOUNKILING,DIACOUNDA,KAMAGHONE,1,232.0,ECOLE CLASSE CM1
BOUNKILING,DIACOUNDA,KOUMBAGHOR,1,242.0,CLASSE CE1
BOUNKILING,DIACOUNDA,MAFONGO,1,295.0,CLASSE CI
BOUNKILING,DIACOUNDA,NIOROKI,1,275.0,CLASSE CE2
BOUNKILING,DIACOUNDA,SITA,1,145.0,ABRI PROVISOIRE
BOUNKILING,DIACOUNDA,YACKO OUOLOF,1,241.0,ABRI PROVISOIRE
