DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,1,541.0,CLASSE CE2 B
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,2,562.0,CLASSE CI A
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,3,543.0,CLASSE CI B
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,4,503.0,CLASSE CM1
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,5,423.0,CLASSE CP B
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE DE BADIANENE,1,279.0,CLASSE CI
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE DE IMINE DINE,1,210.0,CLASSE CI
MALEM HODAR,MALEM HODAR,TAWA KEUR ELHADJI,1,470.0,ECOLE CLASSE CM1
MALEM HODAR,MALEM HODAR,TAWA KEUR ELHADJI,2,469.0,ECOLE CLASSE CM2
MALEM HODAR,MALEM HODAR,TAWA MOSQUÉE,1,451.0,ABRI PROVISOIRE
