DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,1,594,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,2,595,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,3,593,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,4,595,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,5,596,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,6,594,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,7,598,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,8,596,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,9,598,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,10,596,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,11,595,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,12,596,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,13,597,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,14,596,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,15,596,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,16,598,ECOLE APIX
PIKINE,GUINAW RAIL SUD,CENTRE DE NUTRITION COMMUNAUTAIRE,17,599,ECOLE APIX
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,1,575,CLASSE CM2 A
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,2,570,CLASSE CM2 B
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,3,574,CLASSE CM1 A
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,4,579,CLASSE CM1B
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,5,579,CLASSE CE2 A
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,6,580,CLASSE CE2 B
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,7,573,CLASSE CE1 B
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,8,590,CLASSE CE1 A
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,9,584,CLASSE CP B
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,10,573,CLASSE CP A
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,11,585,CLASSE CI A
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,12,571,ABRI PROVISOIRE
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,13,570,ABRI PROVISOIRE
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,14,580,ABRI PROVISOIRE
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,15,566,ABRI PROVISOIRE
PIKINE,GUINAW RAIL SUD,ECOLE OUMAR DIA DIOUF,16,573,ABRI PROVISOIRE
PIKINE,GUINAW RAIL SUD,MAISON DE LA FEMME GUINAW RAILS,1,575,SALLE 1
PIKINE,GUINAW RAIL SUD,MAISON DE LA FEMME GUINAW RAILS,2,567,SALLE 2
PIKINE,GUINAW RAIL SUD,MAISON DE LA FEMME GUINAW RAILS,3,575,SALLE 3
PIKINE,GUINAW RAIL SUD,MAISON DE LA FEMME GUINAW RAILS,4,569,CENTRE DEVEIL COMMUNAUTAIRE
PIKINE,GUINAW RAIL SUD,MAISON DE LA FEMME GUINAW RAILS,5,572,MAISON DES DELEGUES
PIKINE,GUINAW RAIL SUD,MAISON DE LA FEMME GUINAW RAILS,6,191,MAISON DE LA FEMME
