DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,THIEP,BAYE DIENG,1,347,ABRI PROVISOIRE
KEBEMER,THIEP,BENDIOUGA,1,415,ECOLE CLASSE CM 1
KEBEMER,THIEP,DIAMA BEYE 1,1,333,ECOLE CLASSE CP
KEBEMER,THIEP,FORDIOKH OUOLOF,1,486,ECOLE CLASSE CE1 A
KEBEMER,THIEP,GOUYE SEG,1,422,ECOLE CLASSE C E 2
KEBEMER,THIEP,MBEY 1,1,129,CASE DE SANTE
KEBEMER,THIEP,MERINA NDIAYE 2,1,465,ECOLE MERINA NDIAYE 2 CI
KEBEMER,THIEP,RONIDEUG 1,1,280,ECOLE CLASSE CP
KEBEMER,THIEP,SAM GAYE,1,264,CASE DE SANTE
KEBEMER,THIEP,SINE ALTERE OUOLOF,1,245,ABRI PROVISOIRE
KEBEMER,THIEP,TAYE MBAOR,1,166,ABRI PROVISOIRE
KEBEMER,THIEP,TEBENE 1,1,300,ECOLE CLASSE CI
KEBEMER,THIEP,THIEP,1,600,ECOLE CLASSE CM 2
KEBEMER,THIEP,THIEP,2,600,ECOLE CLASSE CE 2
KEBEMER,THIEP,THIERIGNE,1,234,ECOLE THIERIGNE CI
KEBEMER,THIEP,YODI TANOR,1,285,CASE DE SANTE
