DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,TOUBA MERINA,BARIDIAM,1,185.0,ECOLE AL AZAR SALLE 1
KEBEMER,TOUBA MERINA,KHOYOYE,1,368.0,ECOLE ELEMENTAIRE SALLE 1
KEBEMER,TOUBA MERINA,KOBA,1,183.0,MAGASIN STOCKAGE
KEBEMER,TOUBA MERINA,KOBARENE,1,120.0,BUREAU ANNEXE MAGASIN STOCKAGE
KEBEMER,TOUBA MERINA,NDELER,1,285.0,CASE DE SANTE
KEBEMER,TOUBA MERINA,THIDE,1,264.0,CASE DE SANTE
KEBEMER,TOUBA MERINA,TOUBA BELEL,1,294.0,ECOLE ELEMENTAIRE SALLE 1
KEBEMER,TOUBA MERINA,TOUBA MERINA,1,477.0,ECOLE ELEMENTAIRE CLASSE CP
KEBEMER,TOUBA MERINA,TOUBA MERINA,2,477.0,ECOLE ELEMENTAIRE CLASSE CE1
KEBEMER,TOUBA MERINA,TOUBA MERINA,3,477.0,ECOLE ELEMENTAIRE CLASSE CM1
