DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,NDANDE,ANDOULAYE,1,436.0,ABRI PROVISOIRE
KEBEMER,NDANDE,ANDOULAYE,2,230.0,ABRI PROVISOIRE
KEBEMER,NDANDE,GATI RAT,1,394.0,ECOLE CLASSE CP
KEBEMER,NDANDE,GOUY MEO,1,271.0,CASE DE SANTE
KEBEMER,NDANDE,MBAYE DJIGNAKH,1,247.0,MAGASIN DE STOCKAGE CEREALIERE
KEBEMER,NDANDE,NDANDE,1,588.0,ECOLE NDANDE 1 CLASSE CE2 A
KEBEMER,NDANDE,NDANDE,2,586.0,ECOLE NDANDE 1 CLASSE CM1 A
KEBEMER,NDANDE,NDANDE,3,588.0,ECOLE NDANDE 1 CLASSE CP B
KEBEMER,NDANDE,NDANDE,4,588.0,MAISON COMMUNAUTAIRE
KEBEMER,NDANDE,NDANDE,5,589.0,ECOLE NDANDE 2 CLASSE CI B
KEBEMER,NDANDE,NDANDE,6,589.0,ECOLE NDANDE 3 CLASSE CM 2
KEBEMER,NDANDE,NDANDE,7,588.0,ECOLE NDANDE 3 CLASSE CI
KEBEMER,NDANDE,NDANDE,8,589.0,ECOLE NDANDE 1 SALLE CLASSE
KEBEMER,NDANDE,NDANDE,9,585.0,ECOLE NDANDE 2 CLASSE CIA
KEBEMER,NDANDE,NDANDE,10,585.0,ECOLE NDANDE 2 SALLE DE CLASSE
KEBEMER,NDANDE,NDIALENE,1,476.0,ECOLE CLASSE CP
KEBEMER,NDANDE,NDIALENE,2,475.0,ECOLE CLASSE CE 1
KEBEMER,NDANDE,NDIAYE BOUMI,1,298.0,ECOLE NDIAYE BOUMI CI
KEBEMER,NDANDE,NDIAYE THIORO,1,600.0,ECOLE CLASSE CM 2
KEBEMER,NDANDE,NDIONGUE FALL,1,454.0,ECOLE CLASSE CE 1
KEBEMER,NDANDE,NIOKHOUL MBIRAM,1,219.0,ECOLE CLASSE CP
KEBEMER,NDANDE,PALENE DED,1,501.0,ECOLE CLASSE CM 1
KEBEMER,NDANDE,PALMEO,1,595.0,ECOLE CLASSE CI
KEBEMER,NDANDE,PALMEO,2,594.0,ECOLE CLASSE CE 2
KEBEMER,NDANDE,SANTHIOU MOUR,1,435.0,ECOLE CLASSE CE 2
KEBEMER,NDANDE,THIEY THIEY,1,568.0,ECOLE CORANIQUE SALLE 1
KEBEMER,NDANDE,THIEY THIEY,2,81.0,ECOLE CORANIQUE SALLE 2
KEBEMER,NDANDE,THYLL,1,356.0,ECOLE FRANCO-ABARE CI
