DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEBEMER,THIOLOM FALL,BELAKHO HANE,1,451,ECOLE CLASSE CM2 A
KEBEMER,THIOLOM FALL,BELAKHO HANE,2,450,ECOLE CLASSE CM1 A
KEBEMER,THIOLOM FALL,BELAKHO HANE,3,450,ECOLE CLASSE CM1 B
KEBEMER,THIOLOM FALL,GAD AFE,1,230,ECOLE CLASSE CM1 A
KEBEMER,THIOLOM FALL,GAD AFE,2,229,ECOLE CLASSE CE1 A
KEBEMER,THIOLOM FALL,KANDALLA MBENGUE,1,298,ECOLE CLASSE CM2 A
KEBEMER,THIOLOM FALL,KEUR MORI LEYE,1,278,ECOLE CLASSE CE1 A
KEBEMER,THIOLOM FALL,KILIMANE 1,1,138,ABRI PROVISOIRE
KEBEMER,THIOLOM FALL,MASSAR DIOP,1,483,ECOLE CLASSE CM1 A
KEBEMER,THIOLOM FALL,MBENGUENE DIAWAR,1,454,ECOLE CLASSE CE1 A
KEBEMER,THIOLOM FALL,MBENGUENE DIAWAR,2,452,ECOLE CLASSE CM2 A
KEBEMER,THIOLOM FALL,MBENGUENE MBELGOR,1,338,ABRI PROVISOIRE
KEBEMER,THIOLOM FALL,NDAM MOR FADEMBA,1,541,ECOLE CLASSE CP A
KEBEMER,THIOLOM FALL,NDAT DIOKOUL,1,534,ECOLE CLASSE CE1 A
KEBEMER,THIOLOM FALL,NDIATAR FALL,1,566,ECOLE CLASSE CM1 A
KEBEMER,THIOLOM FALL,NDIATAR FALL,2,46,CLASSE CI
KEBEMER,THIOLOM FALL,NDIENGUE DIAO,1,394,ECOLE CLASSE CE1 A
KEBEMER,THIOLOM FALL,NDIENGUE DIAO,2,395,ECOLE CLASSE CM2 A
KEBEMER,THIOLOM FALL,NDIOBENE MAYAMAR,1,353,ECOLE CLASSE CI
KEBEMER,THIOLOM FALL,NGANDECK AMAR,1,146,ECOLE CLASSE CM1 A
KEBEMER,THIOLOM FALL,NGAYE NGAYE,1,280,CLASSE CI
KEBEMER,THIOLOM FALL,NGOUMBALA,1,241,ECOLE CLASSE CP1 A
KEBEMER,THIOLOM FALL,NGUIRANENE,1,227,ABRI PROVISOIRE
KEBEMER,THIOLOM FALL,THIENO DIAO,1,261,ABRI PROVISOIRE
KEBEMER,THIOLOM FALL,THIOLOM FALL,1,477,ECOLE CLASSE CE1 A
KEBEMER,THIOLOM FALL,THIOLOM FALL,2,479,ECOLE CLASSE CM2 A
KEBEMER,THIOLOM FALL,THIOLOM FALL,3,481,ECOLE CLASSE CM2 B
