DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIRKILANE,MABO,BARKEDJI,1,300.0,ABRI PROVISOIRE
BIRKILANE,MABO,DIAMA FARA,1,434.0,ECOLE SALLE 1
BIRKILANE,MABO,DIAMA FARA,2,433.0,ECOLE SALLE 2
BIRKILANE,MABO,ECOLE ELEMENTAIRE DAGA BALLA,1,495.0,SALLE DE CLASSE
BIRKILANE,MABO,ECOLE ELEMENTAIRE NDOYLI,1,343.0,SALLE DE CLASSE
BIRKILANE,MABO,ECOLE ELEMENTAIRE SANTHIE THIAKHO,1,363.0,SALLE DE CLASSE
BIRKILANE,MABO,ECOLE ELEMENTAIRE SIMBARA,1,329.0,SALLE DE CLASSE
BIRKILANE,MABO,ECOLE ELEMENTAIRE SINE MADAMEL,1,361.0,SALLE DE CLASSE
BIRKILANE,MABO,ECOLE MAKA SACOUMBA,1,474.0,SALLE DE CLASSE
BIRKILANE,MABO,FASS GADE,1,114.0,ABRI PROVISOIRE
BIRKILANE,MABO,KASSASS,1,475.0,ECOLE SALLE 1
BIRKILANE,MABO,KASSASS,2,309.0,SALLE DE CLASSE
BIRKILANE,MABO,KEUR DJIBI,1,405.0,ECOLE  SALLE 1
BIRKILANE,MABO,KEUR MADEMBA GUEYE,1,269.0,ABRI PROVISOIRE
BIRKILANE,MABO,KOUMPEUL WOLOF,1,555.0,ABRI PROVISOIRE
BIRKILANE,MABO,LYCEE MABO,1,428.0,CEM SALLE 1
BIRKILANE,MABO,LYCEE MABO,2,428.0,CEM SALLE 2
BIRKILANE,MABO,MABO 1,1,536.0,ECOLE PRIMAIRE SALLE 1
BIRKILANE,MABO,MABO 1,2,519.0,ECOLE PRIMAIRE SALLE 2
BIRKILANE,MABO,MABO 1,3,485.0,SALLE DE CLASSE
BIRKILANE,MABO,MABO 1,4,370.0,ECOLE SALLE DE CLASSE
BIRKILANE,MABO,MEDINA THIAKHO,1,450.0,ECOLE SALLE 1
BIRKILANE,MABO,MEDINA THISSE,1,400.0,ABRI PROVISOIRE
BIRKILANE,MABO,NDIORAL BIRANE DIOP,1,331.0,ABRI PROVISOIRE
BIRKILANE,MABO,OUANAR,1,595.0,ECOLE SALLE 1
BIRKILANE,MABO,SANTHIOU OUANAR,1,424.0,ECOLE SALLE 1
