DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIRKILANE,DIAMAL,DIAMAL,1,517,ECOLE SALLE 1
BIRKILANE,DIAMAL,DIAMAL,2,517,ECOLE SALLE 2
BIRKILANE,DIAMAL,DIAMAL,3,516,SALLE DE CLASSE
BIRKILANE,DIAMAL,ECOLE ELEMENTAIRE GAMA,1,498,SALLE DE CLASSE
BIRKILANE,DIAMAL,ECOLE FRANCO-ARABE KEUR ISMAILA,1,452,SALLE DE CLASSE
BIRKILANE,DIAMAL,ECOLE KEBE GOUYE,1,427,SALLE DE CLASSE
BIRKILANE,DIAMAL,ECOLE NGORDJILENE MOURIDE,1,314,SALLE DE CLASSE
BIRKILANE,DIAMAL,FASS MAKHTAR,1,228,ABRI PROVISOIRE
BIRKILANE,DIAMAL,GAINTHE BOYE,1,191,ECOLE SALLE 1
BIRKILANE,DIAMAL,KEUR IBRAHIMA MBAYE,1,209,ECOLE SALLE 1
BIRKILANE,DIAMAL,KORKY BAMBARA,1,522,ECOLE SALLE 1
BIRKILANE,DIAMAL,LOUGOL,1,351,ECOLE SALLE 1
BIRKILANE,DIAMAL,NDANGHANE,1,416,ECOLE SALLE 1
