DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,KATHIOTE,BARONE,1,454,ECOLE SALLE 1
KAFFRINE,KATHIOTE,CASE DES TOUT PETITS KEUR MALICK NDIAYE,1,555,SALLE DE CLASSE
KAFFRINE,KATHIOTE,CASE DES TOUT PETITS KEUR MALICK NDIAYE,2,76,ECOLE SALLE 2
KAFFRINE,KATHIOTE,FARATO,1,564,ECOLE SALLE 01
KAFFRINE,KATHIOTE,GAINTHE PEULH 1,1,431,ECOLE SALLE 01
KAFFRINE,KATHIOTE,GAINTHE PEULH 1,2,432,ECOLE SALLE 02
KAFFRINE,KATHIOTE,KATAKEL,1,417,ECOLE SALLE 1
KAFFRINE,KATHIOTE,KATHIOTTE 1,1,465,ECOLE SALLE 1
KAFFRINE,KATHIOTE,KATHIOTTE 1,2,465,ECOLE SALLE 2
KAFFRINE,KATHIOTE,KATHIOTTE 1,3,465,ECOLE SALLE 3
KAFFRINE,KATHIOTE,KATHIOTTE 1,4,465,ECOLE SALLE 4
KAFFRINE,KATHIOTE,KEUR BIRANE,1,307,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,KEUR LAHINE,1,574,ECOLE SALLE 1
KAFFRINE,KATHIOTE,KEUR LAHINE,2,53,ECOLE SALLE 2
KAFFRINE,KATHIOTE,MAGASIN W V GAINTHE GOUYE,1,529,MAGASIN
KAFFRINE,KATHIOTE,MBELBOUCK,1,347,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,MBENE DIOUMA,1,564,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,MBENE DIOUMA,2,112,ECOLE SALLE 2
KAFFRINE,KATHIOTE,MOUYE,1,446,ECOLE SALLE 1
KAFFRINE,KATHIOTE,NDIAYE COUNDA,1,425,SALLE DE CLASSE
KAFFRINE,KATHIOTE,NDIOUDIENE,1,291,ECOLE SALLE 1
KAFFRINE,KATHIOTE,NDIOUDIENE,2,290,SALLE DE CLASSE
KAFFRINE,KATHIOTE,NDOTOU MALICK,1,383,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,NDOTOU MALICK,2,382,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,SANTHIE GALNGONE,1,474,ECOLE SALLE 1
KAFFRINE,KATHIOTE,SANTHIE GALNGONE,2,473,ECOLE SALLE 2
KAFFRINE,KATHIOTE,SANTHIE GALNGONE,3,473,ECOLE SALLE 3
KAFFRINE,KATHIOTE,SANTHIE MANDAKH,1,488,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,SOULKHOU THISSE,1,545,ECOLE SALLE 1
KAFFRINE,KATHIOTE,SOULKHOU THISSE,2,176,ECOLE SALLE 2
KAFFRINE,KATHIOTE,TAWA,1,176,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,TAYBA,1,339,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,THIAMENE,1,434,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,TOUBA MOURIDE 1,1,508,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,BAMBA MAMADOU,1,507,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,BAMBA MAMADOU,2,95,ECOLE SALLE 2
KAFFRINE,KATHIOTE,ECOLE ELEMENTAIRE PANTHIANG 1,1,530,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,ECOLE MEDINA KEUR SERIGNE AWA,1,462,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,KELIMANE GOUYE,1,580,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,KEUR ALY FANA,1,301,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,KEUR BABOU,1,93,ECOLE SALLE 1
KAFFRINE,KATHIOTE,KEUR BABOU,2,91,ECOLE SALLE 2
KAFFRINE,KATHIOTE,KEUR SAFADI,1,541,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,KEUR SAFADI,2,66,ECOLE SALLE 2
KAFFRINE,KATHIOTE,MAKA GOUYE,1,347,ECOLE SALLE 1
KAFFRINE,KATHIOTE,MAKA GOUYE,2,346,ECOLE SALLE 2
KAFFRINE,KATHIOTE,MEDINATOU SALAM 2,1,550,ECOLE SALLE 1
KAFFRINE,KATHIOTE,MEDINATOU SALAM 2,2,540,ECOLE SALLE 2
KAFFRINE,KATHIOTE,MEDINATOU SALAM 2,3,531,ECOLE SALLE 4
KAFFRINE,KATHIOTE,MEDINATOU SALAM 2,4,411,ECOLE SALLE 3
KAFFRINE,KATHIOTE,NDAKHAR MBAYENE,1,341,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,NDAKHAR POSTE,1,200,ECOLE SALLE 01
KAFFRINE,KATHIOTE,NDIENGUENE,1,364,ECOLE SALLE DE CLASSE
KAFFRINE,KATHIOTE,NDIENGUENE,2,256,ECOLE SALLE 2
KAFFRINE,KATHIOTE,NGOCK DIAMA,1,357,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,PATHE  THIANGAYE,1,550,ECOLE SALLE 1
KAFFRINE,KATHIOTE,PATHE  THIANGAYE,2,160,ECOLE SALLE 2
KAFFRINE,KATHIOTE,TAMBA,1,296,ABRI PROVISOIRE
