DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,KATHIOTE,BARONE,01,454,ECOLE SALLE 1
KAFFRINE,KATHIOTE,CASE DES TOUT PETITS KEUR MALICK NDIAYE,01,555,SALLE DE CLASSE
KAFFRINE,KATHIOTE,CASE DES TOUT PETITS KEUR MALICK NDIAYE,02,76,ECOLE SALLE 2
KAFFRINE,KATHIOTE,FARATO,01,564,ECOLE SALLE 01
KAFFRINE,KATHIOTE,GAINTHE PEULH 1,01,431,ECOLE SALLE 01
KAFFRINE,KATHIOTE,GAINTHE PEULH 1,02,432,ECOLE SALLE 02
KAFFRINE,KATHIOTE,KATAKEL,01,417,ECOLE SALLE 1
KAFFRINE,KATHIOTE,KATHIOTTE 1,01,465,ECOLE SALLE 1
KAFFRINE,KATHIOTE,KATHIOTTE 1,02,465,ECOLE SALLE 2
KAFFRINE,KATHIOTE,KATHIOTTE 1,03,465,ECOLE SALLE 3
KAFFRINE,KATHIOTE,KATHIOTTE 1,04,465,ECOLE SALLE 4
KAFFRINE,KATHIOTE,KEUR BIRANE,01,307,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,KEUR LAHINE,01,574,ECOLE SALLE 1
KAFFRINE,KATHIOTE,KEUR LAHINE,02,53,ECOLE SALLE 2
KAFFRINE,KATHIOTE,MAGASIN W V GAINTHE GOUYE,01,529,MAGASIN
KAFFRINE,KATHIOTE,MBELBOUCK,01,347,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,MBENE DIOUMA,01,564,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,MBENE DIOUMA,02,112,ECOLE SALLE 2
KAFFRINE,KATHIOTE,MOUYE,01,446,ECOLE SALLE 1
KAFFRINE,KATHIOTE,NDIAYE COUNDA,01,425,SALLE DE CLASSE
KAFFRINE,KATHIOTE,NDIOUDIENE,01,291,ECOLE SALLE 1
KAFFRINE,KATHIOTE,NDIOUDIENE,02,290,SALLE DE CLASSE
KAFFRINE,KATHIOTE,NDOTOU MALICK,01,383,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,NDOTOU MALICK,02,382,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,SANTHIE GALNGONE,01,474,ECOLE SALLE 1
KAFFRINE,KATHIOTE,SANTHIE GALNGONE,02,473,ECOLE SALLE 2
KAFFRINE,KATHIOTE,SANTHIE GALNGONE,03,473,ECOLE SALLE 3
KAFFRINE,KATHIOTE,SANTHIE MANDAKH,01,488,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,SOULKHOU THISSE,01,545,ECOLE SALLE 1
KAFFRINE,KATHIOTE,SOULKHOU THISSE,02,176,ECOLE SALLE 2
KAFFRINE,KATHIOTE,TAWA,01,176,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,TAYBA,01,339,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,THIAMENE,01,434,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,TOUBA MOURIDE 1,01,508,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,BAMBA MAMADOU,01,507,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,BAMBA MAMADOU,02,95,ECOLE SALLE 2
KAFFRINE,KATHIOTE,ECOLE ELEMENTAIRE PANTHIANG 1,01,530,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,ECOLE MEDINA KEUR SERIGNE AWA,01,462,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,KELIMANE GOUYE,01,580,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,KEUR ALY FANA,01,301,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,KEUR BABOU,01,93,ECOLE SALLE 1
KAFFRINE,KATHIOTE,KEUR BABOU,02,91,ECOLE SALLE 2
KAFFRINE,KATHIOTE,KEUR SAFADI,01,541,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,KEUR SAFADI,02,66,ECOLE SALLE 2
KAFFRINE,KATHIOTE,MAKA GOUYE,01,347,ECOLE SALLE 1
KAFFRINE,KATHIOTE,MAKA GOUYE,02,346,ECOLE SALLE 2
KAFFRINE,KATHIOTE,MEDINATOU SALAM 2,01,550,ECOLE SALLE 1
KAFFRINE,KATHIOTE,MEDINATOU SALAM 2,02,540,ECOLE SALLE 2
KAFFRINE,KATHIOTE,MEDINATOU SALAM 2,03,531,ECOLE SALLE 4
KAFFRINE,KATHIOTE,MEDINATOU SALAM 2,04,411,ECOLE SALLE 3
KAFFRINE,KATHIOTE,NDAKHAR MBAYENE,01,341,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,NDAKHAR POSTE,01,200,ECOLE SALLE 01
KAFFRINE,KATHIOTE,NDIENGUENE,01,364,ECOLE SALLE DE CLASSE
KAFFRINE,KATHIOTE,NDIENGUENE,02,256,ECOLE SALLE 2
KAFFRINE,KATHIOTE,NGOCK DIAMA,01,357,ABRI PROVISOIRE
KAFFRINE,KATHIOTE,PATHE  THIANGAYE,01,550,ECOLE SALLE 1
KAFFRINE,KATHIOTE,PATHE  THIANGAYE,02,160,ECOLE SALLE 2
KAFFRINE,KATHIOTE,TAMBA,01,296,ABRI PROVISOIRE
