DEPARTEMENT,COMMUNE,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,NGANDA,DIOKOUL KAO,1,205,ABRI PROVISOIRE
KAFFRINE,NGANDA,DIOKOUL KELIMANE,1,214,ABRI PROVISOIRE
KAFFRINE,NGANDA,KELIMANE,1,585,ECOLE SALLE 1
KAFFRINE,NGANDA,KELIMANE,2,586,ECOLE SALLE 2
KAFFRINE,NGANDA,LYCEE NGANDA,1,529,ECOLE SALLE 1
KAFFRINE,NGANDA,LYCEE NGANDA,2,535,ECOLE SALLE 2
KAFFRINE,NGANDA,LYCEE NGANDA,3,544,ECOLE SALLE 3
KAFFRINE,NGANDA,LYCEE NGANDA,4,511,ECOLE SALLE 4
KAFFRINE,NGANDA,MINNA,1,585,ABRI PROVISOIRE
KAFFRINE,NGANDA,MINNA,2,585,ABRI PROVISOIRE
KAFFRINE,NGANDA,SANTHIE DIMB,1,550,ECOLE SALLE 1
KAFFRINE,NGANDA,SANTHIE DIMB,2,551,ECOLE SALLE 2
